state	TTR0.1	state	TTR0.2	state	TTR0.3	state	TTR0.4	state	TTR0.5	state	TTR0.6	state	TTR0.7	state	TTR0.8	state	TTR0.9	state	TTR0.10
2500000.0	1.1004499445364873	2500000.0	4.352217466437991	2500000.0	2.0519038596140753	2500000.0	2.3328534987904694	2500000.0	3.133867651147431	2500000.0	2.344020239560476	2500000.0	1.4103347804851012	2500000.0	0.9732003764759686	2500000.0	0.5074819603530875	2500000.0	0.24206170412898484
2501000.0	1.1004499445364873	2501000.0	4.352217466437991	2501000.0	1.9581063637385423	2501000.0	1.6900646768045484	2501000.0	3.133867651147431	2501000.0	2.344020239560476	2501000.0	1.4103347804851012	2501000.0	0.9732003764759686	2501000.0	0.5468785674037187	2501000.0	0.32505641008757935
2502000.0	1.8528863389539083	2502000.0	2.8201974068791857	2502000.0	2.2126431556118304	2502000.0	1.6900646768045484	2502000.0	3.133867651147431	2502000.0	2.344020239560476	2502000.0	1.4103347804851012	2502000.0	0.9732003764759686	2502000.0	0.5468785674037187	2502000.0	0.32505641008757935
2503000.0	2.3498507180761345	2503000.0	2.604225628520817	2503000.0	1.437238606999945	2503000.0	1.6900646768045484	2503000.0	3.133867651147431	2503000.0	2.344020239560476	2503000.0	1.4713637376609396	2503000.0	0.9732003764759686	2503000.0	0.5468785674037187	2503000.0	0.35127575772662467
2504000.0	4.713944885364283	2504000.0	2.604225628520817	2504000.0	1.9832461668485917	2504000.0	1.6900646768045484	2504000.0	2.6018038257645117	2504000.0	2.032586857981504	2504000.0	1.5489264984810764	2504000.0	0.9732003764759686	2504000.0	0.5468785674037187	2504000.0	0.394202620902904
2505000.0	4.839214247747407	2505000.0	2.9199081803158924	2505000.0	1.3277053808951989	2505000.0	1.8659578397616927	2505000.0	2.6018038257645117	2505000.0	2.032586857981504	2505000.0	1.5489264984810764	2505000.0	0.9732003764759686	2505000.0	0.4927515295285614	2505000.0	0.33918003628587395
2506000.0	2.4829047935305972	2506000.0	2.9199081803158924	2506000.0	2.2794100894781226	2506000.0	3.9195660465922493	2506000.0	2.6018038257645117	2506000.0	2.032586857981504	2506000.0	1.5489264984810764	2506000.0	0.9732003764759686	2506000.0	0.5584691672771711	2506000.0	0.26749051038763977
2507000.0	2.4829047935305972	2507000.0	2.162132128273464	2507000.0	0.9544296787437917	2507000.0	3.9195660465922493	2507000.0	2.4444644349197358	2507000.0	2.032586857981504	2507000.0	1.5489264984810764	2507000.0	0.9732003764759686	2507000.0	0.5584691672771711	2507000.0	0.4822000416570928
2508000.0	3.160850952423241	2508000.0	2.37786092404413	2508000.0	1.5424775804917272	2508000.0	3.9195660465922493	2508000.0	2.557619386914517	2508000.0	2.032586857981504	2508000.0	1.5489264984810764	2508000.0	0.9732003764759686	2508000.0	0.5584691672771711	2508000.0	0.4822000416570928
2509000.0	4.013198364783859	2509000.0	2.37786092404413	2509000.0	2.2530988696255143	2509000.0	3.202718011332939	2509000.0	2.9573701908603884	2509000.0	2.032586857981504	2509000.0	1.5489264984810764	2509000.0	0.9732003764759686	2509000.0	0.5584691672771711	2509000.0	0.22374890009340992
2510000.0	4.013198364783859	2510000.0	2.2867001945875405	2510000.0	2.930495967996354	2510000.0	2.589946589484119	2510000.0	2.9573701908603884	2510000.0	2.032586857981504	2510000.0	1.62624590517273	2510000.0	0.9732003764759686	2510000.0	0.5584691672771711	2510000.0	0.22711212597898978
2511000.0	0.4920764628299683	2511000.0	2.2867001945875405	2511000.0	3.11345893426062	2511000.0	2.8310679844622015	2511000.0	3.31760963635458	2511000.0	2.032586857981504	2511000.0	1.584942396824841	2511000.0	0.814464259399849	2511000.0	0.5584691672771711	2511000.0	0.22711212597898978
2512000.0	0.4701168380016816	2512000.0	2.2867001945875405	2512000.0	3.248171355314593	2512000.0	1.7031711885121923	2512000.0	3.31760963635458	2512000.0	2.032586857981504	2512000.0	1.610715060045755	2512000.0	0.814464259399849	2512000.0	0.6569020881525189	2512000.0	0.18861678420108402
2513000.0	2.5424085916147634	2513000.0	1.7382963503698279	2513000.0	2.3066805157999655	2513000.0	1.490100302880814	2513000.0	3.31760963635458	2513000.0	2.032586857981504	2513000.0	1.610715060045755	2513000.0	0.814464259399849	2513000.0	0.6569020881525189	2513000.0	0.29342213072440293
2514000.0	1.8474867326497826	2514000.0	0.7816043771853637	2514000.0	2.828168925048298	2514000.0	1.490100302880814	2514000.0	3.31760963635458	2514000.0	2.032586857981504	2514000.0	1.462190510468523	2514000.0	0.814464259399849	2514000.0	0.6569020881525189	2514000.0	0.25154869446788475
2515000.0	2.3264457016970517	2515000.0	1.4252816579919534	2515000.0	2.619137827760592	2515000.0	1.490100302880814	2515000.0	3.60257089867596	2515000.0	2.032586857981504	2515000.0	1.462190510468523	2515000.0	0.814464259399849	2515000.0	0.6569020881525189	2515000.0	0.25154869446788475
2516000.0	2.4888465365747052	2516000.0	1.4210797011024676	2516000.0	1.88544223080881	2516000.0	2.8203002898891176	2516000.0	2.8930281037321293	2516000.0	2.219072991406068	2516000.0	1.462190510468523	2516000.0	0.814464259399849	2516000.0	0.6569020881525189	2516000.0	0.32020665528236586
2517000.0	2.0623134739704128	2517000.0	1.1381452197859083	2517000.0	1.743897562443007	2517000.0	2.427462120576393	2517000.0	2.8930281037321293	2517000.0	2.219072991406068	2517000.0	1.462190510468523	2517000.0	0.814464259399849	2517000.0	0.4456387634290909	2517000.0	0.4878476165191474
