state	TTR0.1	state	TTR0.2	state	TTR0.3	state	TTR0.4	state	TTR0.5	state	TTR0.6	state	TTR0.7	state	TTR0.8	state	TTR0.9
135000.0	0.8831816708294817	135000.0	2.0747677005694003	135000.0	4.554328720219488	135000.0	4.757688478121286	135000.0	2.5549079037711513	135000.0	1.4468269233059075	135000.0	0.2479551152283292	135000.0	0.16204240558890876	135000.0	0.3077442329673582
136000.0	1.4419905639367894	136000.0	2.2288980320549583	136000.0	3.161278135331106	136000.0	4.576307389275241	136000.0	2.162672261863208	136000.0	1.5661687839215976	136000.0	0.23275165511136595	136000.0	0.2100166784439546	136000.0	0.17149319004954794
137000.0	4.639203761291465	137000.0	3.699240405233964	137000.0	3.3467270489307115	137000.0	4.319782193294341	137000.0	2.162672261863208	137000.0	1.5661687839215976	137000.0	0.23275165511136595	137000.0	0.16840653552557366	137000.0	0.28490598238281606
138000.0	4.644512504607441	138000.0	2.634664129285154	138000.0	2.3301356098682837	138000.0	4.532509364681421	138000.0	2.162672261863208	138000.0	1.5661687839215976	138000.0	0.23275165511136595	138000.0	0.16840653552557366	138000.0	0.28490598238281606
139000.0	3.803867753300991	139000.0	1.630404908115072	139000.0	1.7423098898354306	139000.0	4.532509364681421	139000.0	2.162672261863208	139000.0	1.5661687839215976	139000.0	0.23275165511136595	139000.0	0.1599805131832489	139000.0	0.28490598238281606
140000.0	4.813073701022941	140000.0	1.0597007977316353	140000.0	2.364601916167327	140000.0	5.761698582157357	140000.0	2.081879088617085	140000.0	1.5661687839215976	140000.0	0.23275165511136595	140000.0	0.1599805131832489	140000.0	0.18016809191831815
141000.0	3.067873551700316	141000.0	1.5101063070859975	141000.0	1.8832500055397026	141000.0	5.796230822497654	141000.0	2.081879088617085	141000.0	1.495953729905373	141000.0	0.23275165511136595	141000.0	0.16035043830929968	141000.0	0.18016809191831815
142000.0	1.766990767436299	142000.0	1.7448026454761962	142000.0	2.854349161566798	142000.0	6.186152051476418	142000.0	2.3902363480368196	142000.0	1.495953729905373	142000.0	0.23275165511136595	142000.0	0.13627617469778164	142000.0	0.3455654815654292
143000.0	2.309465443210803	143000.0	1.170204714551964	143000.0	2.854349161566798	143000.0	6.164252360526238	143000.0	2.3902363480368196	143000.0	1.495953729905373	143000.0	0.2979785347520336	143000.0	0.13627617469778164	143000.0	0.2636616445045432
144000.0	1.6686859887302463	144000.0	1.1689854742946781	144000.0	2.854349161566798	144000.0	6.164252360526238	144000.0	2.4709134417354806	144000.0	1.495953729905373	144000.0	0.26095410235377287	144000.0	0.16605556777675484	144000.0	0.28932080457607395
145000.0	2.143088704169713	145000.0	1.0116091764710102	145000.0	2.473519577928251	145000.0	6.164252360526238	145000.0	2.4709134417354806	145000.0	1.495953729905373	145000.0	0.26095410235377287	145000.0	0.12240416942107618	145000.0	0.3053300511839437
146000.0	2.422529438676859	146000.0	1.2421231817466483	146000.0	2.563286407098222	146000.0	5.93361869360953	146000.0	2.4709134417354806	146000.0	1.495953729905373	146000.0	0.2494291173689725	146000.0	0.12240416942107618	146000.0	0.3541808248315476
147000.0	3.343941220529405	147000.0	1.7331507028522395	147000.0	2.3224621889459414	147000.0	5.380638562136142	147000.0	2.52373326939562	147000.0	1.495953729905373	147000.0	0.23319381954996266	147000.0	0.12240416942107618	147000.0	0.37098267846557953
148000.0	6.668092824513507	148000.0	1.4912301337224894	148000.0	2.1107560193451835	148000.0	4.882262672211046	148000.0	2.3235078650639376	148000.0	1.495953729905373	148000.0	0.2468263867308239	148000.0	0.1650097586699459	148000.0	0.4179087220177316
149000.0	6.848045097833695	149000.0	1.1965005941471232	149000.0	1.935278442249789	149000.0	4.882262672211046	149000.0	2.476265253098221	149000.0	1.495953729905373	149000.0	0.2742046635400579	149000.0	0.1650097586699459	149000.0	0.4179087220177316
150000.0	7.14249196511847	150000.0	1.1669167670598837	150000.0	1.7201060968803636	150000.0	4.882262672211046	150000.0	2.4253380900348485	150000.0	1.4745879361555119	150000.0	0.2861265026872736	150000.0	0.1375112933716251	150000.0	0.4179087220177316
151000.0	7.14249196511847	151000.0	1.1016883640911497	151000.0	3.3613866941411277	151000.0	4.442049350663581	151000.0	2.4253380900348485	151000.0	1.4745879361555119	151000.0	0.2861265026872736	151000.0	0.1375112933716251	151000.0	0.2625053710133497
152000.0	6.913392866840971	152000.0	1.2092121248838328	152000.0	3.2432124088006202	152000.0	4.442049350663581	152000.0	2.4253380900348485	152000.0	1.4745879361555119	152000.0	0.27008872792530997	152000.0	0.1375112933716251	152000.0	0.27623163047064586
153000.0	7.318968705529136	153000.0	0.8155786399789038	153000.0	3.3906382935793187	153000.0	4.684199032014409	153000.0	2.310770592643615	153000.0	1.478331706519315	153000.0	0.27008872792530997	153000.0	0.1375112933716251	153000.0	0.3383203501582968
154000.0	7.318968705529136	154000.0	0.8155786399789038	154000.0	3.3678349430373604	154000.0	4.395427213969752	154000.0	2.3196986134575814	154000.0	1.5136372587127016	154000.0	0.27008872792530997	154000.0	0.1375112933716251	154000.0	0.4775063206750956
155000.0	7.686963677038561	155000.0	1.7594473276901064	155000.0	3.3678349430373604	155000.0	4.395427213969752	155000.0	2.3196986134575814	155000.0	1.5136372587127016	155000.0	0.2745122060571596	155000.0	0.1375112933716251	155000.0	0.21679766668147163
156000.0	5.860766387727064	156000.0	1.7102451442985858	156000.0	2.9347853561709627	156000.0	4.395427213969752	156000.0	2.4098383785468975	156000.0	1.4045706168719827	156000.0	0.2745122060571596	156000.0	0.1375112933716251	156000.0	0.21679766668147163
