state	reproductiveNumber_BDSKY_Serial.1	state	reproductiveNumber_BDSKY_Serial.2	state	reproductiveNumber_BDSKY_Serial.3	state	reproductiveNumber_BDSKY_Serial.4	state	reproductiveNumber_BDSKY_Serial.5	state	reproductiveNumber_BDSKY_Serial.6	state	reproductiveNumber_BDSKY_Serial.7	state	reproductiveNumber_BDSKY_Serial.8	state	reproductiveNumber_BDSKY_Serial.9	state	reproductiveNumber_BDSKY_Serial.10
1000000.0	1.1375812292272793	1000000.0	1.498459500612029	1000000.0	0.6806911252637817	1000000.0	0.7939835335055732	1000000.0	1.797437686326262	1000000.0	0.9665020644953594	1000000.0	0.9709927146364264	1000000.0	0.7019857063655813	1000000.0	1.031666177646441	1000000.0	0.9905527969769642
1001000.0	1.144718284252213	1001000.0	1.139818678144568	1001000.0	0.9126917469590583	1001000.0	0.9125711607793029	1001000.0	1.9350106750092293	1001000.0	0.9725657883322065	1001000.0	0.8002707686072336	1001000.0	0.9143845830373174	1001000.0	1.0381387337049013	1001000.0	0.9967674123692458
1002000.0	1.1173918082924958	1002000.0	1.137732896733578	1002000.0	1.2028662025253527	1002000.0	0.6187409241739076	1002000.0	1.4535755168763058	1002000.0	1.3412580962185763	1002000.0	0.7666776188737043	1002000.0	0.8167558562689947	1002000.0	1.0341101489058562	1002000.0	0.9928993724673691
1003000.0	1.1272582901149446	1003000.0	1.115793845340585	1003000.0	0.8781134783396971	1003000.0	0.8314788677582317	1003000.0	1.5444032659679423	1003000.0	1.1994936351273933	1003000.0	0.7728599970316857	1003000.0	0.9423483003943487	1003000.0	1.0432412602231842	1003000.0	1.0016665958685682
1004000.0	1.1222284958720294	1004000.0	1.1267002937791724	1004000.0	0.8902312849860419	1004000.0	0.8822145932106243	1004000.0	1.55338129396238	1004000.0	1.0690421393068985	1004000.0	0.8157129832163126	1004000.0	1.0117404389008324	1004000.0	1.0385863475641635	1004000.0	0.975290415485826
1005000.0	1.1101091421887515	1005000.0	1.126691995806744	1005000.0	0.9544238168977943	1005000.0	0.8822080958373559	1005000.0	1.6615306887446044	1005000.0	1.2551034013781341	1005000.0	0.8157069756170587	1005000.0	0.877206406552586	1005000.0	1.0385786985372447	1005000.0	1.0263893256276462
1006000.0	1.1029324488638692	1006000.0	1.254605667467341	1006000.0	0.939908332209582	1006000.0	0.8141795387192043	1006000.0	1.7321920843033514	1006000.0	1.1359312428300365	1006000.0	0.8807562572592499	1006000.0	0.8608122042289861	1006000.0	1.0191685925626257	1006000.0	1.0072070281188397
1007000.0	1.0960974793923717	1007000.0	1.2511775393623275	1007000.0	0.8794354858706563	1007000.0	0.7209445832940775	1007000.0	1.841721230043816	1007000.0	1.0253635541409967	1007000.0	0.8660014562190568	1007000.0	0.7777710257824167	1007000.0	1.0094587893720195	1007000.0	1.0009652775059517
1008000.0	1.1207246231104664	1008000.0	1.0795210499442227	1008000.0	0.8657470644820888	1008000.0	1.0399908430185236	1008000.0	1.8230133532712502	1008000.0	1.0123746791513404	1008000.0	0.806171406372385	1008000.0	0.8592513331191979	1008000.0	1.0226835415833087	1008000.0	1.014078757626676
1009000.0	1.1217712228304453	1009000.0	1.140645581546788	1009000.0	0.9647043773332007	1009000.0	0.9498652331849962	1009000.0	1.8470133942814295	1009000.0	1.176962665084209	1009000.0	0.8069242574749356	1009000.0	0.8173953441730911	1009000.0	1.0236385846743379	1009000.0	1.015025765055515
1010000.0	1.0922617525202922	1010000.0	1.2707128518549164	1010000.0	0.911645467802825	1010000.0	0.8943272530600681	1010000.0	2.0340926294590744	1010000.0	1.0723783228929156	1010000.0	0.7433106193018127	1010000.0	0.9657282003953553	1010000.0	1.025813485723833	1010000.0	1.0007504423547096
1011000.0	1.0923353921872196	1011000.0	1.257254297427574	1011000.0	0.7176944511490944	1011000.0	0.911109180835248	1011000.0	1.6182019770249925	1011000.0	1.3738645237839766	1011000.0	0.722006449416372	1011000.0	0.98499099111511	1011000.0	1.01734217243515	1011000.0	0.9901511521398061
1012000.0	1.1061480874651197	1012000.0	1.2699021000570323	1012000.0	0.9597010937708708	1012000.0	0.8618477025906474	1012000.0	1.8684496021934751	1012000.0	0.9282855870678545	1012000.0	0.7461868781923039	1012000.0	0.9930018943505166	1012000.0	0.9994597981941926	1012000.0	1.0026717170151995
1013000.0	1.1132773606606015	1013000.0	1.2699021000570323	1013000.0	0.884491572965624	1013000.0	0.717717301402225	1013000.0	1.986830640858544	1013000.0	0.9530075341247036	1013000.0	0.9289840767778174	1013000.0	0.9377985152155343	1013000.0	0.9994597981941926	1013000.0	1.0026717170151995
1014000.0	1.1163569642458826	1014000.0	1.202952507745768	1014000.0	1.016328057444777	1014000.0	0.8942406500833967	1014000.0	1.4754946228478767	1014000.0	1.2250429519039958	1014000.0	0.9190362893442074	1014000.0	0.9264396677899115	1014000.0	0.9886393258106867	1014000.0	0.9918164713682133
1015000.0	1.1215957389642293	1015000.0	1.3347370622833288	1015000.0	0.8754878941638764	1015000.0	0.8436417610086606	1015000.0	1.4786486226085425	1015000.0	1.1714214460284276	1015000.0	0.8611037130604344	1015000.0	0.8162586052099184	1015000.0	0.9932787546596116	1015000.0	0.996470809740128
1016000.0	1.1205431413047848	1016000.0	1.299831746522784	1016000.0	0.874666264341067	1016000.0	0.8816343675395152	1016000.0	1.6648591952184941	1016000.0	1.149652419099572	1016000.0	0.860295582535845	1016000.0	0.9747190529067111	1016000.0	0.9923465802085066	1016000.0	0.9955356396020835
