state	reproductiveNumber_BDSKY_Serial.1	state	reproductiveNumber_BDSKY_Serial.2	state	reproductiveNumber_BDSKY_Serial.3	state	reproductiveNumber_BDSKY_Serial.4	state	reproductiveNumber_BDSKY_Serial.5	state	reproductiveNumber_BDSKY_Serial.6	state	reproductiveNumber_BDSKY_Serial.7	state	reproductiveNumber_BDSKY_Serial.8	state	reproductiveNumber_BDSKY_Serial.9
1064000.0	1.303040957697529	1064000.0	2.3138027693327876	1064000.0	2.2817756306093515	1064000.0	2.030898983230197	1064000.0	2.514273916794889	1064000.0	0.8837281999423168	1064000.0	0.5778448494731556	1064000.0	0.1536036687533628	1064000.0	0.4571652006999863
1065000.0	9.308797792197193	1065000.0	2.318693839619423	1065000.0	2.2858241351097597	1065000.0	2.035192032665391	1065000.0	2.5195887563351858	1065000.0	0.8856949037373208	1065000.0	0.5339336833393257	1065000.0	0.31454064849768193	1065000.0	0.9225112050907541
1066000.0	4.213378095785378	1066000.0	2.044958498275241	1066000.0	2.377321592473161	1066000.0	2.1933140356296654	1066000.0	2.3863872142353055	1066000.0	0.8526658823595811	1066000.0	0.5140224170930201	1066000.0	0.3897548889785065	1066000.0	0.6999490797922309
1067000.0	2.1293523848563916	1067000.0	2.112118183237016	1067000.0	2.4553966093197053	1067000.0	2.130380623544774	1067000.0	2.509376238572632	1067000.0	0.9976047756862144	1067000.0	0.5566472259690957	1067000.0	0.37553162211693614	1067000.0	0.44882628243538286
1068000.0	7.0363899786503605	1068000.0	2.573365323310328	1068000.0	2.5905692077663223	1068000.0	2.3121496388686658	1068000.0	2.6335580523160713	1068000.0	0.8776196380413753	1068000.0	0.384120663211097	1068000.0	0.44977687397285143	1068000.0	0.3669138228727464
1069000.0	1.5931556312047788	1069000.0	2.4730720746091137	1069000.0	2.4434684293513786	1069000.0	2.2649392610196246	1069000.0	2.7472978982801313	1069000.0	0.7641814535703817	1069000.0	0.4531525229001702	1069000.0	0.4222457790467273	1069000.0	0.3798467048666567
1070000.0	7.8168845586889955	1070000.0	2.3016208631200454	1070000.0	2.274069556286266	1070000.0	2.107917318861975	1070000.0	2.556835372817363	1070000.0	0.7842996976238483	1070000.0	0.5766826840182387	1070000.0	0.3761747829448648	1070000.0	0.1523627681266258
1071000.0	7.655076126978677	1071000.0	2.3260236570413224	1071000.0	2.2988093254771114	1071000.0	2.1074144157341923	1071000.0	2.5562253676265945	1071000.0	0.7841125808107148	1071000.0	0.5765451000992983	1071000.0	0.565533303794478	1071000.0	0.18779604172773498
1072000.0	1.1268068083614975	1072000.0	2.0551222996056757	1072000.0	2.245250253350573	1072000.0	2.134182336042987	1072000.0	2.549683419770983	1072000.0	0.8282518194449328	1072000.0	0.46993998973780715	1072000.0	0.48867982078944505	1072000.0	0.729255081824231
1073000.0	1.5880060434902563	1073000.0	2.233930619671082	1073000.0	2.1126773347126377	1073000.0	1.8609158176332719	1073000.0	2.3702280783879206	1073000.0	0.769956655481799	1073000.0	0.6241565838646638	1073000.0	0.40600162241572524	1073000.0	0.7467056954384623
1074000.0	7.6343527909205795	1074000.0	2.5018243600035794	1074000.0	2.1998869401448062	1074000.0	1.8712155657598502	1074000.0	2.4680691694547563	1074000.0	0.830498096699496	1074000.0	0.6099505426874116	1074000.0	0.47617586283841257	1074000.0	0.19894424259453145
1075000.0	4.026462525904337	1075000.0	2.480549911203563	1075000.0	2.287157691160473	1075000.0	1.8553035455621192	1075000.0	2.328222786236565	1075000.0	0.9796387788482803	1075000.0	0.5641809389984713	1075000.0	0.4388447422996437	1075000.0	0.5202296736782226
1076000.0	4.155833909198426	1076000.0	2.3381985866246766	1076000.0	2.306019810523709	1076000.0	1.8080251672285599	1076000.0	2.2688930889502075	1076000.0	0.9679765014962983	1076000.0	0.5741507009625866	1076000.0	0.44540074240983085	1076000.0	0.8239246430750684
1077000.0	5.920245566639812	1077000.0	1.874949728291288	1077000.0	2.277439485053857	1077000.0	1.970993980949782	1077000.0	2.350773433456459	1077000.0	1.0029090638997324	1077000.0	0.5948707857573594	1077000.0	0.2695318314876244	1077000.0	0.9573766662686884
1078000.0	7.553508309979435	1078000.0	1.863101179443795	1078000.0	2.5011768517638946	1078000.0	2.164625911015581	1078000.0	2.352330745817449	1078000.0	0.9615397794441372	1078000.0	0.41598748605377495	1078000.0	0.7737540147033941	1078000.0	0.3871716748251472
1079000.0	2.0995148083981303	1079000.0	2.385709059355947	1079000.0	2.5011768517638946	1079000.0	2.164625911015581	1079000.0	2.352330745817449	1079000.0	0.9063848801460319	1079000.0	0.404229740967962	1079000.0	0.537855345134313	1079000.0	0.5232362417571812
1080000.0	1.0799271833670525	1080000.0	2.230878683955509	1080000.0	2.3394598286239727	1080000.0	2.138537712730812	1080000.0	2.3239803178677754	1080000.0	0.9829826024683781	1080000.0	0.5071804303015826	1080000.0	0.4664223300607446	1080000.0	0.7403594217106865
1081000.0	0.9396337159153885	1081000.0	1.9626893590895673	1081000.0	2.252460578678145	1081000.0	2.04824992815967	1081000.0	2.225863257299655	1081000.0	0.9414816642709807	1081000.0	0.4857675755470626	1081000.0	0.4230937977448617	1081000.0	0.8589486481806076
1082000.0	1.0525116510275425	1082000.0	1.9074760057879228	1082000.0	2.321362548988787	1082000.0	2.0800835986905066	1082000.0	2.293951624981549	1082000.0	0.9702812545029581	1082000.0	0.5449734686957498	1082000.0	0.39204905026222386	1082000.0	0.6291662300413898
