T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,2,3,6,7,9,13,18,31,38,67,90,119,150,183,229,296,415,539,678,836,940,1159,1392,1554,1569,1685,1875,2089,2396,2474,2571,2616,2698,2787,2635,2484,2291,2019,1717,1538,1395,1262,1108,1018,901,775,661,583,489,405,339,270,251,235,184,170,148,129,115,107,101,107,112,109,88,80,72,69,58,48,49,35,28,23,20,16,15,14,18,20,17,14,14,12,13,14,13,10,10,12,13,12,10,6,7,7,5,3,2,2,2,2,2,2,2,
1,2,3,6,7,7,11,14,26,36,45,65,91,133,186,249,349,474,592,700,866,1038,1265,1500,1719,1964,2117,2392,2720,3100,3198,3128,2876,2804,2541,2257,1887,1704,1473,1276,1147,1100,985,888,760,624,521,464,392,339,276,219,186,147,144,119,118,104,100,96,87,91,91,87,75,63,53,45,38,38,34,34,31,24,24,23,19,18,19,16,13,13,13,12,11,10,9,9,8,7,7,7,5,5,4,4,4,4,5,4,4,5,6,5,4,2,
1,2,3,3,5,8,13,20,29,43,71,102,144,213,252,301,356,452,534,717,943,1103,1359,1612,1955,2239,2314,2434,2379,2557,2610,2474,2378,2035,1763,1524,1316,1184,1082,989,867,711,615,539,500,456,400,339,307,275,219,181,156,127,121,102,88,79,75,79,75,69,70,59,54,46,33,34,30,27,25,21,21,23,25,24,21,20,17,17,14,10,11,15,15,15,13,16,13,17,15,16,22,20,22,18,13,13,9,8,9,11,12,9,9,12,
1,2,3,4,5,9,14,19,30,36,50,65,80,114,159,232,299,382,513,611,706,790,880,1004,1071,1172,1380,1562,1771,2008,2076,1976,1855,1715,1651,1489,1269,1082,893,743,644,514,458,437,438,448,440,414,425,436,427,374,324,268,226,178,145,128,111,99,80,63,55,52,38,34,30,23,24,24,21,17,15,14,12,11,14,18,17,12,11,9,10,9,9,9,8,7,8,9,12,11,17,20,28,30,36,38,38,34,29,32,27,17,15,12,
1,2,2,3,6,10,13,18,32,47,67,89,115,173,230,291,329,401,505,598,714,824,944,1113,1156,1409,1704,1986,2176,2217,2504,2727,2642,2687,2755,2836,2585,2149,1814,1614,1317,1058,904,815,767,670,570,475,415,327,280,244,234,251,245,206,187,169,156,136,121,115,117,97,82,74,75,78,82,83,73,66,59,54,49,37,30,26,23,17,14,13,13,10,9,6,7,8,7,5,7,9,11,13,14,15,18,22,19,19,20,21,22,21,23,25,
1,2,4,5,7,9,11,12,20,29,50,72,94,135,183,245,315,429,572,729,890,988,1093,1202,1304,1588,1725,1877,1933,1991,2049,2009,1966,1870,1740,1514,1228,1031,934,821,740,703,625,619,554,509,445,412,402,355,319,278,232,181,146,129,112,98,93,73,73,71,64,60,54,58,53,56,61,70,61,63,55,50,36,28,27,25,18,13,12,15,16,16,16,17,15,14,12,12,15,12,8,8,7,6,6,6,5,4,6,5,4,3,1,1,
1,2,3,5,8,8,10,14,27,36,51,67,88,145,200,247,368,502,644,871,1064,1376,1607,1737,1789,1847,1888,1808,1754,1803,1831,1830,1615,1531,1424,1377,1370,1255,1185,956,798,710,682,671,654,608,576,508,446,436,399,379,358,333,283,259,237,225,199,163,126,115,97,72,60,56,61,66,60,55,47,42,34,30,28,27,24,20,16,14,11,9,5,7,8,12,12,15,13,15,17,17,16,17,14,17,17,17,12,12,7,5,5,3,3,1,
1,1,4,6,6,12,13,19,29,38,54,63,87,141,186,214,302,404,514,634,792,990,1215,1497,1643,1690,1842,2193,2594,2957,3375,3439,3358,3039,2743,2411,2011,1689,1358,1162,983,862,801,690,642,643,590,533,504,462,354,273,228,197,153,130,114,113,106,83,63,55,50,51,47,54,59,55,51,56,55,46,39,38,31,26,23,20,20,16,19,14,13,11,11,10,11,11,11,8,7,9,14,20,23,26,25,21,17,16,13,12,14,16,13,15,
1,1,3,5,5,7,9,15,21,26,41,65,82,116,156,202,267,318,403,471,537,689,885,1040,1233,1378,1570,1633,1805,1778,1782,1990,1972,1945,2014,2135,1967,1848,1749,1708,1638,1539,1340,1073,812,678,568,469,366,298,275,262,202,173,143,120,104,83,78,72,69,64,58,61,61,54,53,56,55,53,50,52,48,39,37,34,36,28,26,25,22,19,18,14,12,12,12,13,13,13,13,18,17,13,15,15,13,11,11,9,8,8,4,3,3,3,
1,3,4,8,11,14,19,24,32,47,53,75,97,149,217,280,364,458,604,803,1008,1243,1463,1734,1916,2149,2171,2343,2320,2184,2110,2063,1887,1789,1772,1755,1517,1343,1073,914,822,685,636,600,515,443,385,359,323,316,300,322,273,199,157,125,112,108,105,93,106,118,116,116,111,101,93,86,77,60,51,46,40,33,35,30,28,24,20,19,19,20,18,19,11,12,10,10,8,6,7,8,9,11,16,19,17,19,18,18,20,22,19,20,19,18,
