gamma,psi,phi,initialBeta,betaJitter,
0.1291363516405212,0.0014443525658445183,0.010217031400863351,0.5241213310879024,0.08245554323650098,
0.12875844502483696,0.0013528096303385198,0.01039526654442651,0.5274638761117536,0.08074244465422888,
0.12926665355250463,0.0013058801781349614,0.010298255926407787,0.5029010882718687,0.08822477764517411,
0.12269534626473184,0.0013592303062374155,0.0110928570047996,0.5189364715071902,0.0848167101253577,
0.12759654818722302,0.0014236972341735046,0.011100876625591203,0.5840689595285818,0.08149790594818551,
0.12759654818722302,0.0014236972341735046,0.011100876625591203,0.5840689595285818,0.08149790594818551,
0.14316792130949912,0.0013426412431169902,0.011253308300020066,0.6265060293139696,0.07409326882473267,
0.15542666546165518,0.0012286597732673104,0.010940082118783837,0.5917772317747811,0.07119036510388667,
0.16110455964988474,0.0010656949868141888,0.010780170506112793,0.6138942358432826,0.05798472641668225,
0.18164137333098185,0.0010398407664557207,0.011357820013744508,0.6513170940069275,0.05056892796717883,
0.20857913040158976,8.48715665447062E-4,0.012339612291938338,0.6787421470119157,0.05166624030987932,
0.2327627720000246,7.852209724478807E-4,0.014080518423150125,0.6955610504179381,0.059772748095148924,
0.20464483980887507,6.965098340284256E-4,0.014560409355326934,0.701677590092594,0.06237484431386564,
0.20921490384691985,6.860657852683136E-4,0.01801361635426083,0.6857272107468763,0.05315464552133346,
0.2093892109840741,7.326777788160052E-4,0.017509211678013205,0.621119478746781,0.05145560183954602,
0.20117944194511003,6.352999142036265E-4,0.016080627105313595,0.5583578554274685,0.04954940951758531,
0.20459060713217514,6.116424273868644E-4,0.016574050116599688,0.5475249432345325,0.04828456356855401,
0.17721829008735093,5.788021463251177E-4,0.020219415712920703,0.4927820656192175,0.040260903339934026,
0.17224392937144115,5.865414409876878E-4,0.017172082224384242,0.520766230134473,0.04267500314429137,
0.1720749444032746,5.455069550531411E-4,0.01715928993711992,0.466447209119338,0.048449579273031326,
0.1640195403931501,5.336071341920498E-4,0.016097661802268463,0.5266825992763225,0.05096098389830883,
0.1507767490443843,5.231310129467577E-4,0.01595700492548288,0.5441293492711787,0.05343577276445257,
0.1507767490443843,5.231310129467577E-4,0.01595700492548288,0.5441293492711787,0.05343577276445257,
0.17988231741863717,6.147366693894947E-4,0.014424257686134274,0.5215690357629814,0.05154318949293741,
0.14893934673534984,6.889172960701422E-4,0.014884063763745231,0.45681089994429896,0.051537020853868014,
0.14727087900984737,6.712158681186793E-4,0.01566548604697102,0.44944428772287776,0.04733732739679102,
0.15689075069607458,6.0991561219662E-4,0.014848447403009191,0.45403620512171666,0.045149793999751095,
0.15894485828851646,7.030301909829961E-4,0.015795681289606525,0.4278924514386596,0.043860659516742194,
0.17444527413431174,6.966097138829472E-4,0.01524178440978177,0.51697527698645,0.04404783331647802,
0.17444527413431174,6.966097138829472E-4,0.01524178440978177,0.51697527698645,0.04404783331647802,
0.17242169535250865,6.898296183309545E-4,0.014866599057528924,0.477206926816177,0.04655768145278452,
0.17991192354481092,7.522363208280262E-4,0.013540691219183564,0.46488143307312413,0.05309442777383674,
0.18050566185968075,8.114913639474432E-4,0.012769650871068424,0.46822046018053215,0.051283690844668,
0.17320814263789427,8.018595556457447E-4,0.013633803864518582,0.49314611674383213,0.04461458841051462,
0.17320814263789427,8.018595556457447E-4,0.013633803864518582,0.49314611674383213,0.04461458841051462,
0.1565568900156573,7.773042331085015E-4,0.012624157784413443,0.5513220215709239,0.04234425628985467,
0.14118957817843436,6.861970536580096E-4,0.011323261791369027,0.6117971059587667,0.03714589992445532,
0.15690315354090464,6.241763708718741E-4,0.012184586361369647,0.6396629598570975,0.03642735606179867,
0.153806129343812,5.218988963889418E-4,0.010403373886323175,0.5723664350836043,0.03933918198647938,
0.14618234545564238,5.458659304992559E-4,0.009553691259925848,0.5721089103269659,0.036234866938310475,
0.14733333951077277,5.641036687421034E-4,0.01034933247574342,0.5723506253003405,0.043829769261209045,
0.14453868162567216,5.261449713710826E-4,0.010215645187957341,0.6159241284006715,0.04614041256362039,
0.15250696047319723,4.793194205812162E-4,0.008967804319407165,0.5565976005089579,0.0420708671435571,
0.15250696047319723,4.793194205812162E-4,0.008967804319407165,0.5565976005089579,0.0420708671435571,
0.15250696047319723,4.793194205812162E-4,0.008967804319407165,0.5565976005089579,0.0420708671435571,
0.15200459381852693,4.841827642133567E-4,0.009975537122332089,0.5721968373909306,0.04781224627471412,
0.139399931659794,4.88329809916706E-4,0.009922982942481777,0.5632426565997097,0.04922669969531606,
0.13142451082004813,4.769719708330353E-4,0.010942556205848754,0.5656471640561105,0.047430107432039806,
0.14031576285315567,5.043988197466253E-4,0.011254175239259541,0.55104140314742,0.04393760950373968,
0.14031576285315567,5.043988197466253E-4,0.011254175239259541,0.55104140314742,0.04393760950373968,
0.14437673102074122,4.8113371451312457E-4,0.01265619397540308,0.5072507289001711,0.04844987947427855,
0.1592854513704297,4.982415017766622E-4,0.01304271797673149,0.46258424713647484,0.04698127046139927,
0.17177764428494738,5.035292977005577E-4,0.011159424165475211,0.5154664051487774,0.05149651683046948,
0.16330043858949367,4.886088870143682E-4,0.010618672995890099,0.45008035458138945,0.05268304761202339,
0.1495105945058865,4.641196186008674E-4,0.010710337032875238,0.46809484173372856,0.054447185546275166,
0.15247987896638932,4.2966679166009283E-4,0.01102605084610378,0.5314991559710392,0.05288991413406927,
0.15117085978028524,3.878028903890699E-4,0.011428720230383927,0.5676017656887357,0.05435047000345973,
0.15117085978028524,3.878028903890699E-4,0.011428720230383927,0.5676017656887357,0.05435047000345973,
0.1683113868041315,3.630607158755986E-4,0.009866786665972554,0.5614011334083544,0.06091330768828332,
0.18096038890561517,3.257904126538278E-4,0.010127943032841407,0.6117675023766835,0.055943867535310506,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.18359139091623775,3.3771851953026243E-4,0.010186452363466367,0.6480787988670488,0.049896632014665675,
0.17294715366346552,3.4412961510219887E-4,0.010205944462827429,0.641793344704003,0.05272241373808933,
0.1857490653459938,3.3446114508104406E-4,0.011590467386273898,0.640588423217779,0.05973478201503615,
0.2064603460806116,3.3743118946996426E-4,0.012203195782649556,0.7990728716368991,0.06121174700077324,
0.20343201438572597,3.637301548687907E-4,0.011969891447807156,0.7494784393575158,0.06398731208781092,
0.20343201438572597,3.637301548687907E-4,0.011969891447807156,0.7494784393575158,0.06398731208781092,
0.18193648857960615,3.5048344557110243E-4,0.010638661233721916,0.7152202301302013,0.061216859919681,
0.16524288456656164,3.9515027842267883E-4,0.0110953885080631,0.5758562354174472,0.053282485218924244,
0.1857856683425501,4.085281118525341E-4,0.01179393937215301,0.5096436439276274,0.05623247376650723,
0.1857856683425501,4.085281118525341E-4,0.01179393937215301,0.5096436439276274,0.05623247376650723,
0.19444804243406055,4.260067645187014E-4,0.012063811202677363,0.44142129053701223,0.05462893329517177,
0.22549557065402032,4.212022441850828E-4,0.011408437144756037,0.48129285941105365,0.06277263427738304,
0.21885180499882154,4.3146861856391825E-4,0.010763168034967203,0.4798540470889911,0.0644814305243717,
0.24836698457383047,5.159797102977628E-4,0.011595228188592833,0.4417479084873496,0.05901839490277015,
0.21865344327086064,5.862788350698345E-4,0.012045582469931607,0.44780094246766783,0.06007543341348746,
0.23515349627343346,6.339812967074035E-4,0.012336488021977142,0.45745549962983223,0.057807449403495,
0.20155488523658516,5.265839296306989E-4,0.013335122650010614,0.44138857801569764,0.0544420014083036,
0.19975928643400392,5.229435571113453E-4,0.012621421787207706,0.48239788418777035,0.0643636926172967,
0.1704227245410086,4.922602187600789E-4,0.011043802176336832,0.481709675167336,0.05429514674902221,
0.14664073196319832,4.812440120987198E-4,0.009557716347323442,0.42965500222942843,0.05097849568533248,
0.15796592347262084,4.26151689638185E-4,0.009350323195042151,0.4509842206668315,0.05654929313772963,
0.1808229707526135,4.3770378744967134E-4,0.009083070770741306,0.39319645993854424,0.05698311719451642,
0.15923669344020114,4.3401530160914597E-4,0.008308069720273946,0.4023617640012104,0.05833757993501992,
0.15786095777089412,3.9772206915374673E-4,0.010736688374849526,0.3811405736297073,0.06524999419228728,
0.1548702477533279,4.0299722892506976E-4,0.010120733242537467,0.42376511252068216,0.06736425669034042,
0.160403386003297,4.150866899159214E-4,0.009731440239583446,0.4357313851103011,0.0715885558036316,
0.15064668692688046,4.3934277885781625E-4,0.008377908025193354,0.43924332393005316,0.08404025908083759,
0.15633470740352057,4.494220554743347E-4,0.007709556243080986,0.4718025780405905,0.08893780330651721,
0.18449049839212442,4.762132768412308E-4,0.007806100751447369,0.4556181330904306,0.09179302185607385,
0.17930049246195434,4.984509117615939E-4,0.008553534130226572,0.4986896434667118,0.08747861065453066,
0.17988338435129445,4.780936220827335E-4,0.008905779293477103,0.5142368475714808,0.09042069714771094,
0.178943688027627,4.6687459544058826E-4,0.00867641578692045,0.46663212285639877,0.09048440487328116,
0.178943688027627,4.6687459544058826E-4,0.00867641578692045,0.46663212285639877,0.09048440487328116,
0.19961916084331968,4.8268282630329126E-4,0.009360685567763004,0.3906242553679344,0.09729157850648439,
0.19369307048700415,4.4930858450716775E-4,0.009891838365342845,0.35322411178699253,0.09381268372606749,
0.20297995675998956,4.337488708655855E-4,0.009403602266412642,0.37528865994176375,0.08902822389392565,
0.2026817659423412,4.392462159053158E-4,0.01028401384155861,0.34379600827755985,0.09241882884467129,
0.20702709039843994,4.08797798654609E-4,0.010356998467160797,0.36469830109651324,0.08180678422416829,
0.19652232363883615,4.453601866844461E-4,0.010753161631905744,0.3356508961892606,0.07684247669173609,
0.19073686262490164,4.8659873960014413E-4,0.010891935114811358,0.31882062589225535,0.07911065759625205,
0.17084373718522758,4.962132063664262E-4,0.010480196625546667,0.3503923690000105,0.07653652526804955,
0.16494215794188066,4.4670819479891314E-4,0.011060232325605442,0.32344288701495993,0.08054864950940266,
0.16304684543529116,5.037823746921052E-4,0.010746312239309018,0.3022276404538907,0.07947134700295064,
0.16304684543529116,5.037823746921052E-4,0.010746312239309018,0.3022276404538907,0.07947134700295064,
0.16228671473049364,4.906957660951273E-4,0.011071991796074158,0.3186367644238335,0.08016849966453637,
0.15724259747862374,5.271497440314474E-4,0.011461165656404477,0.3021714791338616,0.08218178713879142,
0.16480153266883008,5.195746441524582E-4,0.012030063585632902,0.2801080579393127,0.08162726689869947,
0.18364758644596904,5.190212681046121E-4,0.012306161364621556,0.3399277706831794,0.08293079333493722,
0.15902216398451435,5.499235360701958E-4,0.013358026234655818,0.3306977417532231,0.07880848697750932,
0.15749965797295468,5.026785395125526E-4,0.013205822626373816,0.35908891462357406,0.06564561370661968,
0.17065953591570374,4.797110147722829E-4,0.013921677832381529,0.3727006802387858,0.06619145734278872,
0.17506128677902816,5.611111923775629E-4,0.012841958363367784,0.4183583268688825,0.06933894388178248,
0.20030027445013265,5.772197647467966E-4,0.013672732376794658,0.3712306646261707,0.0809477036764171,
0.2087219260952057,6.015843219043909E-4,0.014313744306009093,0.35157453917199216,0.07917636148123197,
0.19377581031751184,6.301446623323572E-4,0.015085359244347027,0.4024753098030298,0.07732213298366712,
0.18450856234706192,6.564082162175172E-4,0.015078695671344804,0.40604818078678173,0.08264761458433699,
0.18026961784484544,6.56100383380139E-4,0.015097540249226105,0.44615178206164047,0.07624585097113684,
0.18251906940519713,6.733325952372679E-4,0.01408030305463742,0.48182533740894545,0.07577762706998288,
0.17732689883318925,7.274687230493511E-4,0.012333752990994451,0.5581338388143517,0.06864066527545681,
0.1627886487358134,9.583725518396206E-4,0.013236440193981926,0.5907945207797685,0.08044299973875545,
0.17021767396030452,0.0010713829898093238,0.013294261855336885,0.5747919588216923,0.07724743012069535,
