T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,8,131,1306,7721,21428,27580,22831,7850,2304,690,200,66,20,7,
0,8,131,1306,7721,21428,27580,22831,7850,2304,690,200,66,20,7,
0,8,109,751,2382,3286,2303,929,276,77,23,7,0,0,0,
0,8,109,751,2382,3286,2303,929,276,77,23,7,0,0,0,
0,5,83,606,1832,1931,819,267,77,22,8,2,0,0,0,
0,8,61,204,312,217,93,35,15,14,10,1,0,0,0,
0,8,61,204,312,217,93,35,15,14,10,1,0,0,0,
0,10,69,257,408,230,76,38,20,9,7,1,1,1,1,
0,13,79,230,303,184,107,49,19,7,7,5,0,0,0,
0,7,53,184,281,174,85,39,16,7,7,7,2,4,1,
0,9,61,168,273,147,65,40,28,15,7,5,0,0,0,
0,10,58,152,246,250,124,65,30,15,7,2,1,1,0,
0,11,74,210,334,214,97,50,22,12,5,1,6,1,0,
0,11,74,210,334,214,97,50,22,12,5,1,6,1,0,
0,9,63,209,300,161,94,45,26,14,7,6,6,1,0,
0,13,83,218,309,194,98,62,29,11,7,1,3,2,3,
0,13,83,218,309,194,98,62,29,11,7,1,3,2,3,
0,13,83,218,309,194,98,62,29,11,7,1,3,2,3,
0,13,83,218,309,194,98,62,29,11,7,1,3,2,3,
0,8,66,307,465,253,111,63,30,14,7,2,0,6,7,
0,8,66,307,465,253,111,63,30,14,7,2,0,6,7,
0,8,66,307,465,253,111,63,30,14,7,2,0,6,7,
0,13,70,207,272,145,71,34,19,13,7,2,0,0,0,
0,13,65,229,415,352,181,76,32,12,7,2,1,2,0,
0,10,54,174,260,169,89,46,22,11,7,2,0,0,0,
0,9,61,248,390,265,167,87,34,17,9,6,0,1,0,
0,10,61,264,404,229,112,57,28,16,7,1,0,0,0,
0,11,62,224,332,247,100,53,24,10,7,7,1,2,0,
0,9,50,201,357,252,101,42,18,7,7,1,0,4,1,
0,10,59,242,363,259,123,51,20,7,7,1,0,0,0,
0,7,62,182,329,251,122,41,12,7,7,7,1,4,0,
0,12,73,295,357,217,168,73,29,18,11,5,0,2,0,
0,8,80,242,349,226,99,42,21,10,7,4,0,0,0,
0,10,88,304,426,250,123,60,38,17,8,3,0,0,0,
0,10,65,211,362,259,107,52,19,7,7,1,1,1,2,
0,8,67,257,436,310,159,75,41,15,7,2,0,0,0,
0,8,53,205,402,310,122,54,23,9,7,1,0,0,0,
0,9,55,203,306,201,101,45,18,11,9,2,0,0,0,
0,8,73,216,227,156,75,45,16,7,1,1,0,1,7,
0,10,82,266,384,217,83,43,14,6,2,4,0,0,0,
0,14,72,239,348,248,128,64,20,7,7,5,0,0,0,
0,14,72,239,348,248,128,64,20,7,7,5,0,0,0,
0,12,82,233,333,207,137,51,19,10,7,4,0,0,0,
0,12,74,127,210,197,115,49,17,7,2,3,0,0,0,
0,11,51,170,204,188,116,49,20,9,2,6,2,3,0,
0,12,67,125,208,221,135,50,20,11,7,1,0,1,1,
0,9,62,204,244,182,113,49,23,18,7,2,0,3,0,
0,12,58,183,364,334,122,71,40,12,5,2,0,0,0,
0,14,87,275,351,249,149,54,18,7,7,2,0,2,1,
0,14,87,275,351,249,149,54,18,7,7,2,0,2,1,
0,14,87,275,351,249,149,54,18,7,7,2,0,2,1,
0,14,87,275,351,249,149,54,18,7,7,2,0,2,1,
0,14,87,275,351,249,149,54,18,7,7,2,0,2,1,
0,13,76,267,283,269,122,38,15,14,10,2,0,3,1,
0,10,62,295,368,220,86,31,12,8,7,3,0,0,0,
1,14,92,214,301,167,103,58,19,12,7,7,1,0,0,
0,14,72,215,369,267,131,51,25,10,7,3,2,0,0,
0,8,76,262,286,185,115,55,19,13,7,4,0,0,0,
0,13,75,171,326,240,127,62,30,12,7,3,0,0,0,
0,15,107,264,334,259,109,45,19,14,9,5,7,7,3,
0,15,107,264,334,259,109,45,19,14,9,5,7,7,3,
0,13,66,156,234,219,125,58,30,18,9,3,0,1,0,
0,13,69,166,247,202,120,108,62,23,8,4,0,2,0,
1,15,91,245,428,247,132,77,33,11,7,7,0,2,1,
0,13,91,277,347,206,91,50,20,7,7,7,2,0,0,
0,13,91,277,347,206,91,50,20,7,7,7,2,0,0,
0,14,76,226,380,216,92,42,15,9,7,2,0,0,0,
0,14,76,226,380,216,92,42,15,9,7,2,0,0,0,
0,11,86,356,298,135,134,76,33,28,10,4,0,3,0,
0,11,74,206,281,188,121,66,16,8,7,3,0,0,0,
0,11,87,265,297,227,86,42,26,16,8,1,0,0,0,
0,12,74,254,398,217,124,60,19,11,2,2,0,0,0,
0,16,78,205,371,287,118,45,21,8,6,1,0,0,0,
0,9,73,237,224,136,96,54,36,17,7,2,0,1,1,
0,10,82,229,272,189,88,58,26,10,4,1,4,1,3,
0,10,82,229,272,189,88,58,26,10,4,1,4,1,3,
0,13,82,249,357,297,131,74,33,11,7,6,0,0,0,
0,13,82,249,357,297,131,74,33,11,7,6,0,0,0,
0,13,91,273,394,287,116,43,21,11,7,2,0,1,1,
0,12,62,272,439,234,111,60,22,12,7,3,0,1,5,
0,12,70,260,315,267,182,106,31,13,7,3,0,0,0,
1,19,115,319,353,232,102,43,17,7,7,1,0,0,0,
0,10,70,242,323,160,89,68,30,9,5,3,1,0,0,
0,10,76,326,471,288,105,53,22,7,7,3,2,0,0,
0,10,70,205,358,240,123,62,29,14,7,2,0,0,0,
0,12,56,153,245,222,102,37,18,14,8,3,0,2,3,
0,11,56,180,332,259,113,50,21,8,4,1,0,0,0,
0,12,65,203,320,258,149,65,24,9,7,5,0,4,0,
0,9,69,172,278,224,82,35,23,11,7,3,0,2,0,
0,10,67,292,366,178,95,47,23,14,7,4,0,0,0,
0,8,61,242,385,209,102,40,18,9,7,1,0,4,1,
0,8,61,242,385,209,102,40,18,9,7,1,0,4,1,
0,7,76,223,238,189,98,38,17,7,7,2,0,0,0,
0,13,70,247,297,240,158,64,20,8,7,2,0,0,0,
0,8,46,177,283,193,85,32,17,3,1,7,7,3,0,
0,10,66,270,450,338,156,49,17,8,3,1,2,1,0,
0,7,69,211,322,187,75,37,30,17,7,1,0,0,0,
0,8,61,206,383,178,81,41,16,10,3,2,0,1,0,
0,7,57,245,360,214,77,29,16,9,5,1,0,0,0,
0,13,76,232,329,266,113,60,25,8,7,7,1,0,0,
0,10,70,237,425,282,167,61,24,8,1,3,1,1,0,
0,5,61,232,314,245,109,42,17,11,7,1,0,0,0,
0,10,64,221,458,351,169,56,22,10,7,3,7,2,0,
0,9,93,257,315,192,121,50,19,16,9,4,0,1,0,
0,9,93,257,315,192,121,50,19,16,9,4,0,1,0,
0,9,93,257,315,192,121,50,19,16,9,4,0,1,0,
0,5,52,201,324,173,104,44,20,7,7,7,7,2,0,
0,5,60,219,361,291,148,87,27,9,7,7,3,1,0,
0,8,59,222,362,287,119,38,14,7,2,7,7,3,0,
0,5,57,213,313,247,148,58,20,10,2,4,1,1,0,
0,9,86,387,423,233,109,50,26,12,6,2,0,1,0,
0,9,86,387,423,233,109,50,26,12,6,2,0,1,0,
0,9,86,387,423,233,109,50,26,12,6,2,0,1,0,
0,8,59,211,338,181,113,67,29,11,3,3,0,0,0,
0,7,79,244,387,352,155,63,36,15,7,1,0,0,0,
0,6,47,196,348,216,139,62,33,17,7,1,0,0,0,
