T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,6,74,276,356,280,99,54,27,11,7,6,0,0,0,
0,6,51,312,484,225,101,73,25,13,5,2,0,5,6,
0,5,56,328,378,183,136,79,27,9,7,1,0,0,0,
0,5,75,304,451,217,93,38,22,13,7,6,0,0,0,
0,5,66,287,256,150,111,55,30,11,7,5,1,0,0,
0,5,71,249,433,283,109,51,26,11,7,6,7,3,0,
0,5,37,179,309,238,117,60,25,12,7,6,0,1,0,
0,5,37,179,309,238,117,60,25,12,7,6,0,1,0,
0,7,50,277,457,230,113,56,37,19,8,2,0,1,0,
0,5,46,243,297,233,133,80,35,18,14,9,3,2,1,
0,6,109,389,479,235,117,67,40,17,9,3,0,0,0,
0,4,38,286,513,262,105,49,20,15,10,5,0,1,0,
0,7,80,234,259,142,90,44,37,17,8,4,0,1,0,
0,5,54,244,360,268,128,71,40,16,9,3,0,3,0,
0,7,67,342,471,250,114,54,25,15,7,7,4,0,0,
0,5,60,305,422,210,113,52,33,15,7,7,7,3,0,
0,7,62,209,294,224,108,61,27,13,7,2,0,0,0,
0,9,134,422,478,276,110,75,24,12,7,5,0,0,0,
0,8,95,345,418,239,86,62,40,17,5,2,6,1,0,
0,7,44,261,574,323,141,87,38,13,7,3,0,1,0,
0,7,63,285,442,431,165,58,28,13,7,6,7,2,0,
0,7,67,240,454,331,139,50,18,14,7,4,0,1,0,
0,5,45,228,447,221,88,39,16,8,7,3,0,3,1,
0,5,54,184,250,158,82,50,33,13,7,3,0,2,7,
0,5,55,162,265,141,68,55,22,9,6,1,0,0,0,
0,5,43,218,308,186,90,39,21,12,7,7,0,4,2,
0,5,43,218,308,186,90,39,21,12,7,7,0,4,2,
0,5,51,202,278,167,97,33,14,9,7,1,0,0,0,
0,5,51,202,278,167,97,33,14,9,7,1,0,0,0,
0,5,51,202,278,167,97,33,14,9,7,1,0,0,0,
0,5,51,202,278,167,97,33,14,9,7,1,0,0,0,
0,6,55,202,289,154,71,32,17,10,5,2,0,1,0,
0,8,72,244,310,181,98,52,31,14,11,7,2,7,7,
0,5,47,145,341,289,132,56,25,11,7,7,7,4,0,
0,5,36,225,371,195,74,40,27,13,7,2,0,0,0,
0,8,69,215,349,181,86,48,26,10,7,7,3,1,0,
0,10,70,312,490,227,125,57,26,8,7,1,0,0,0,
0,10,70,312,490,227,125,57,26,8,7,1,0,0,0,
0,12,109,345,389,313,117,45,16,8,3,1,0,0,0,
0,10,86,316,461,230,120,54,25,16,7,3,0,0,0,
0,7,45,179,360,268,102,42,35,14,7,7,7,5,0,
0,11,89,268,271,161,98,51,23,14,8,4,0,1,0,
0,11,89,268,271,161,98,51,23,14,8,4,0,1,0,
0,6,54,309,453,233,112,52,24,8,6,1,0,0,0,
0,5,64,305,509,248,105,42,20,9,7,7,7,5,0,
0,7,61,189,357,197,90,56,23,10,7,7,0,1,11,
0,6,63,231,318,250,124,67,26,13,7,1,0,0,0,
0,6,63,231,318,250,124,67,26,13,7,1,0,0,0,
0,5,55,265,369,209,101,55,26,10,4,5,2,1,0,
0,9,56,188,317,346,172,58,24,14,11,7,4,6,0,
0,5,61,185,307,152,60,30,19,12,7,2,0,0,0,
0,5,55,288,285,142,106,67,34,24,9,1,0,4,7,
0,5,47,176,269,196,111,52,19,14,7,2,0,0,0,
0,7,57,241,325,167,106,51,22,10,7,6,0,2,0,
0,6,46,162,284,217,97,52,21,10,7,6,0,0,0,
0,7,53,165,312,206,98,40,16,8,7,3,0,0,0,
0,8,85,371,516,272,119,63,27,10,7,4,0,1,0,
0,8,63,275,481,268,106,48,29,16,6,1,0,1,0,
0,8,71,194,302,184,147,69,27,9,4,2,0,1,0,
0,8,81,301,342,205,95,62,22,7,2,4,0,1,0,
0,8,55,231,392,288,105,43,21,14,12,3,1,3,2,
0,6,55,320,499,350,172,67,24,5,2,4,3,1,0,
0,9,74,281,405,238,125,55,19,9,3,2,0,0,0,
0,12,127,401,482,272,79,38,11,7,4,2,0,1,0,
