T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,15,90,292,506,404,181,63,25,17,6,2,0,0,0,
0,12,98,345,586,312,133,40,21,12,7,2,0,0,0,
0,19,110,405,504,239,99,38,15,9,7,3,1,4,0,
0,12,86,235,391,198,91,67,20,8,2,2,0,6,6,
0,15,85,257,496,376,130,51,27,15,11,2,0,2,7,
0,12,91,262,364,188,97,44,16,12,9,1,0,0,0,
0,11,103,318,311,201,109,64,30,12,7,1,0,0,0,
0,11,77,282,546,266,112,46,15,7,7,2,0,5,0,
0,10,65,236,371,353,148,41,15,12,7,6,0,1,0,
1,13,101,354,383,221,88,45,21,18,7,6,0,2,5,
0,16,102,336,372,139,126,82,42,19,8,2,0,0,0,
0,14,98,224,475,271,139,47,19,7,7,1,0,1,0,
0,12,96,328,553,369,130,58,21,13,7,6,0,0,0,
0,14,120,364,520,268,93,32,11,7,6,1,0,0,0,
0,11,80,336,405,211,90,49,27,13,7,1,0,0,0,
0,9,63,177,354,225,98,52,18,10,7,7,7,7,7,
0,7,63,198,328,224,133,53,20,13,7,3,0,3,2,
0,7,54,165,429,287,107,52,21,11,7,3,0,0,0,
0,9,74,206,514,410,161,57,29,12,7,2,0,0,0,
0,7,52,201,364,233,154,56,14,7,7,3,0,0,0,
0,12,84,282,402,240,83,39,16,7,4,4,0,1,0,
0,9,73,301,430,196,85,50,32,24,9,1,0,0,0,
0,13,98,306,456,342,192,68,23,12,7,3,1,1,0,
0,13,98,306,456,342,192,68,23,12,7,3,1,1,0,
0,8,115,332,315,284,88,62,20,9,5,3,0,1,0,
0,7,50,231,455,225,129,70,15,3,6,7,7,2,0,
0,7,57,192,268,135,118,68,20,7,7,2,0,2,1,
0,8,75,197,336,270,104,43,22,13,7,3,0,0,0,
0,8,75,197,336,270,104,43,22,13,7,3,0,0,0,
0,6,72,273,410,165,76,61,33,12,7,1,0,5,0,
0,9,65,286,335,172,114,65,31,16,7,1,0,4,0,
0,6,60,218,435,218,106,34,16,17,7,2,0,0,0,
0,9,74,295,398,296,203,72,29,12,7,1,0,0,0,
0,9,74,295,398,296,203,72,29,12,7,1,0,0,0,
0,9,74,295,398,296,203,72,29,12,7,1,0,0,0,
0,8,91,305,309,187,100,42,16,8,7,1,0,3,5,
0,10,62,279,302,231,101,47,16,7,7,6,0,0,0,
0,8,62,316,380,214,100,49,25,8,7,3,0,1,7,
0,8,57,315,363,210,127,50,28,10,3,4,0,0,0,
0,12,88,292,444,301,134,49,27,14,6,2,1,1,0,
0,12,88,292,444,301,134,49,27,14,6,2,1,1,0,
0,7,34,203,325,215,132,39,14,7,4,2,0,2,7,
0,7,34,203,325,215,132,39,14,7,4,2,0,2,7,
0,10,81,296,410,239,76,35,13,4,6,1,0,3,2,
0,9,53,237,398,301,128,68,21,8,7,4,1,7,1,
0,13,76,249,344,192,104,78,39,14,7,7,0,3,0,
0,13,76,249,344,192,104,78,39,14,7,7,0,3,0,
0,10,77,227,334,201,117,90,38,18,8,5,1,6,0,
0,6,66,206,467,203,173,84,26,20,7,5,0,1,0,
0,9,65,281,385,249,160,52,15,11,7,3,0,0,0,
0,16,78,181,349,231,139,94,30,10,1,1,0,4,0,
0,11,60,237,403,299,159,86,43,16,7,2,0,1,0,
0,17,105,305,328,241,122,46,16,7,1,2,1,1,0,
0,7,73,247,408,350,221,96,29,10,6,3,1,2,0,
0,9,70,192,306,211,137,82,21,7,2,2,0,3,3,
0,6,65,284,413,195,84,54,36,13,7,7,7,5,0,
0,8,50,146,179,155,101,38,13,8,7,7,7,2,0,
0,9,87,260,202,153,81,41,16,7,1,2,2,3,0,
0,6,62,223,295,130,96,55,14,7,7,1,0,0,0,
0,12,89,260,366,213,92,44,16,7,6,2,0,0,0,
0,8,66,195,299,178,101,59,17,17,8,3,0,0,0,
0,12,59,182,343,246,125,95,36,10,7,5,0,1,0,
0,8,99,382,433,313,129,42,14,7,7,7,0,0,0,
0,5,52,235,365,314,155,58,23,9,4,1,0,1,0,
0,7,59,260,387,182,99,79,32,12,7,5,0,0,0,
0,10,52,179,409,271,88,48,24,10,5,2,0,0,0,
0,8,55,276,437,181,78,42,15,7,6,1,3,1,0,
1,14,74,206,354,191,95,40,15,7,2,5,6,2,0,
0,9,81,302,332,185,96,52,20,11,7,1,0,0,0,
0,10,49,193,413,238,97,50,22,8,5,1,0,1,0,
0,9,67,284,394,306,131,61,22,10,7,2,0,0,0,
0,11,71,222,340,196,92,36,26,17,9,7,7,3,0,
0,8,74,311,373,222,120,63,30,15,7,4,0,1,0,
0,8,74,311,373,222,120,63,30,15,7,4,0,1,0,
0,10,56,253,455,241,147,59,26,14,9,4,1,2,0,
0,7,58,289,391,198,94,48,22,10,7,2,0,1,3,
1,11,49,256,385,246,118,46,18,14,8,2,4,7,4,
0,8,49,217,282,130,80,48,18,7,7,2,0,0,0,
0,8,49,217,282,130,80,48,18,7,7,2,0,0,0,
0,7,48,189,282,192,115,48,22,10,7,5,0,0,0,
0,7,48,189,282,192,115,48,22,10,7,5,0,0,0,
0,6,48,183,257,171,91,42,25,11,7,3,0,2,7,
0,9,69,199,269,157,108,62,29,11,7,7,4,7,0,
0,10,60,245,344,215,126,69,36,22,10,6,4,7,0,
0,11,83,248,459,258,108,43,27,13,7,3,0,1,1,
0,15,91,253,375,200,69,37,34,17,8,2,0,0,0,
0,11,64,179,268,225,103,39,19,9,7,2,0,0,1,
0,6,58,311,375,203,95,41,26,13,7,3,4,3,0,
0,12,59,147,285,188,117,66,25,9,4,1,0,3,0,
0,9,82,238,338,194,105,49,20,8,2,2,5,1,0,
0,10,62,225,402,199,129,112,40,14,7,2,0,0,0,
0,6,44,134,256,209,153,93,34,18,9,6,2,1,0,
0,5,54,181,350,241,98,49,22,10,7,4,0,0,0,
0,6,63,169,214,131,83,37,14,7,7,5,1,1,0,
0,7,64,238,315,275,126,59,30,11,3,1,0,2,0,
0,7,55,164,318,191,68,52,34,11,7,1,0,0,0,
0,6,62,276,331,182,87,40,27,18,11,5,0,3,7,
0,8,69,223,348,209,109,70,30,19,9,4,0,0,0,
