T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,2,3,3,5,11,14,19,31,47,74,110,153,240,351,482,705,924,1220,1604,1870,2039,2323,2525,2840,3030,3322,3689,4253,4812,4867,4545,4209,3925,3586,3279,3071,2715,2343,2001,1837,1584,1393,1346,1292,1238,1232,1142,1046,964,894,762,682,626,575,527,473,407,349,308,267,243,226,231,208,192,174,178,172,151,130,114,99,85,80,67,60,48,44,40,40,34,35,30,25,24,25,29,28,28,26,25,24,20,16,14,10,9,9,12,11,14,13,11,11,9,
1,2,3,5,7,9,16,19,29,38,49,75,113,166,230,337,426,513,587,700,872,1202,1615,1924,2267,2789,2863,3145,3543,3941,4273,4470,4242,3886,3698,3261,2957,2576,2389,2252,2178,2000,2004,1938,1982,1884,1557,1389,1190,1013,849,732,619,558,498,425,414,386,391,356,277,238,241,212,196,182,153,131,109,89,73,60,50,46,39,32,31,34,33,38,39,52,49,50,42,41,31,30,32,33,33,36,42,47,57,63,60,55,45,37,34,28,28,21,19,16,
1,1,4,9,6,8,10,13,28,40,72,98,153,215,279,314,411,574,827,1143,1398,1570,1712,2096,2536,3216,3551,3887,3956,3869,3959,3483,2941,2777,2651,2739,2823,2840,2914,2792,2747,2705,2498,2186,1965,1827,1553,1386,1179,985,856,737,623,588,556,504,497,497,435,384,361,329,321,269,232,198,183,166,134,122,103,100,87,79,74,69,58,48,39,42,36,36,32,38,39,38,38,41,38,34,38,44,41,43,31,27,21,19,18,15,14,12,10,6,5,4,
1,2,5,7,7,10,12,15,25,36,52,70,99,121,173,222,327,432,629,846,1159,1515,1872,2219,2429,2649,2863,3131,3193,3472,3328,3231,3123,3171,2967,2670,2575,2698,2967,2905,2722,2569,2291,1923,1601,1460,1232,1107,938,769,687,584,496,473,429,393,374,365,312,266,240,222,210,179,165,165,152,148,137,126,106,97,78,59,55,54,48,44,35,32,32,27,26,24,19,19,18,14,11,9,9,6,6,5,4,4,2,2,2,2,2,4,5,6,10,8,
1,3,3,3,4,7,12,28,45,70,94,150,194,257,339,442,602,780,958,1153,1404,1810,2444,3164,3819,3571,3498,3526,3673,3813,3551,3541,3696,3474,3100,2835,2521,2204,1841,1580,1505,1350,1229,1130,953,853,730,701,570,501,480,437,363,326,295,267,229,222,221,189,157,134,107,102,96,87,86,81,72,64,60,54,47,47,36,42,46,44,38,33,28,22,18,15,13,10,11,13,12,13,12,16,18,27,31,38,39,41,42,42,36,31,26,23,23,20,
1,3,3,3,4,7,12,28,45,70,94,150,194,257,339,442,602,780,958,1153,1404,1810,2444,3164,3819,3571,3498,3526,3673,3813,3551,3541,3696,3474,3100,2835,2521,2204,1841,1580,1505,1350,1229,1130,953,853,730,701,570,501,480,437,363,326,295,267,229,222,221,189,157,134,107,102,96,87,86,81,72,64,60,54,47,47,36,42,46,44,38,33,28,22,18,15,13,10,11,13,12,13,12,16,18,27,31,38,39,41,42,42,36,31,26,23,23,20,
1,3,3,3,4,7,12,28,45,70,94,150,194,257,339,442,602,780,958,1153,1404,1810,2444,3164,3819,3571,3498,3526,3673,3813,3551,3541,3696,3474,3100,2835,2521,2204,1841,1580,1505,1350,1229,1130,953,853,730,701,570,501,480,437,363,326,295,267,229,222,221,189,157,134,107,102,96,87,86,81,72,64,60,54,47,47,36,42,46,44,38,33,28,22,18,15,13,10,11,13,12,13,12,16,18,27,31,38,39,41,42,42,36,31,26,23,23,20,
1,2,3,4,6,8,13,18,29,47,82,121,182,280,417,570,915,1339,1743,2001,2070,2134,2395,2621,2902,2866,2937,3084,3289,3465,3444,3656,3567,3853,3855,3537,3195,2766,2633,2453,2430,2123,1842,1527,1422,1179,1044,923,782,673,606,550,454,400,337,339,358,368,352,291,242,230,199,178,152,144,127,117,107,94,88,95,91,88,75,58,46,39,37,40,43,43,39,37,31,27,24,24,19,20,21,22,18,16,15,17,16,12,12,10,13,12,11,11,11,14,
1,2,3,6,6,10,14,17,27,35,56,71,87,113,156,199,263,337,450,587,780,1122,1461,1746,2117,2478,2894,3258,3511,3910,4361,4429,4229,3949,3509,2836,2296,1975,1739,1602,1474,1435,1485,1424,1197,1078,850,746,712,740,768,810,706,589,471,413,410,362,266,228,210,172,146,126,112,102,91,92,75,60,47,37,28,25,23,19,25,30,35,41,38,36,31,27,24,18,19,21,18,15,15,13,9,7,9,7,1,2,2,5,7,12,16,20,20,21,
1,1,3,3,4,9,12,18,23,35,51,74,94,137,196,269,408,649,860,1082,1208,1341,1505,1704,1799,2000,2460,2902,3389,3778,4533,5576,5697,5379,4643,4433,4015,3865,3159,2808,2445,2037,1687,1475,1214,1107,903,707,614,561,585,572,559,500,423,378,368,377,360,327,307,301,252,207,192,193,186,145,125,101,93,81,80,84,70,50,47,42,41,40,32,29,29,27,18,14,10,10,8,8,9,8,7,7,8,9,11,12,11,14,16,17,16,14,11,9,
