gamma,psi,phi,initialBeta,betaJitter,
0.20855952945866074,0.001755061056736501,0.02,0.42511561752540117,0.021228719019092346,
0.20855952945866074,0.001755061056736501,0.02,0.42511561752540117,0.021228719019092346,
0.21497304142996027,0.0017679227035026278,0.02,0.42302063142587487,0.021421760857434934,
0.21418029394042562,0.0017947222176345787,0.02,0.41737485426649445,0.02142566506367751,
0.21153757672033785,0.0017780490150003533,0.02,0.41672804088529386,0.021716707741633656,
0.20843797001353107,0.0017549847745044775,0.02,0.4197707985756413,0.021707324943369893,
0.20865044298297936,0.0017330108368292544,0.02,0.4173738884448161,0.02201506920338593,
0.2168009807738532,0.0016394972186706607,0.02,0.4058374155858023,0.02222528202789194,
0.2139689269280918,0.0016689995036607878,0.02,0.4030159138331917,0.02231439712389052,
0.21814142082645682,0.0016443546764957763,0.02,0.4021178773960531,0.022449615687274372,
0.22378207838428787,0.001605936142785304,0.02,0.3978206285814108,0.023235659150131413,
0.21460401073615742,0.001569339442370672,0.02,0.3972566903882599,0.024211201010913855,
0.21626953102511823,0.0015501233212399088,0.02,0.41162518270601456,0.023402711704529185,
0.21592976183605714,0.0015435762780618048,0.02,0.4137422861841062,0.023284448972582333,
0.2183959419620197,0.0015294789113183738,0.02,0.419365892796473,0.02205474868514024,
0.22047033167000143,0.0015632600479790898,0.02,0.41579063069613376,0.021374574156758225,
0.21755589434794423,0.0015599619279992917,0.02,0.408826102594165,0.021502160673051635,
0.21755589434794423,0.0015599619279992917,0.02,0.408826102594165,0.021502160673051635,
0.21732956649387827,0.0015690679068787383,0.02,0.404338702952918,0.02256359124881319,
0.21601442497778267,0.0015832986460186983,0.02,0.414739153774711,0.02137816958260432,
0.21198649489597016,0.001589842454447064,0.02,0.4170453982855471,0.021649900065514836,
0.21228336146508683,0.0015995637218976279,0.02,0.41358475865307526,0.021416718922623368,
0.20302795107367522,0.0015734709845111067,0.02,0.41958771030114267,0.021838291935941258,
0.2029135746104659,0.001546772866176014,0.02,0.42085471847984657,0.022118281554427185,
0.20268846941006097,0.001549714985300336,0.02,0.4171978450676671,0.022438709299081705,
0.1957446258159602,0.0015447988337048617,0.02,0.41654018532263576,0.022888535550438273,
