gamma,psi,phi,initialBeta,betaJitter,betaRefactor_distribs_0,betaRefactor_changetime_0,betaRefactor_distribs_1,initialI,
0.13512863705751038,0.001,0.021216792939759088,0.2598569822839176,0.035565029806460646,1.0,146.0,2.4333760968436198,484.0,
0.13512863705751038,0.001,0.021216792939759088,0.2598569822839176,0.035565029806460646,1.0,146.0,2.4333760968436198,484.0,
0.13891161475211852,0.001,0.01973528120051508,0.26834833468387537,0.03497643150281099,1.0,158.0,2.2875541955202334,489.0,
0.1299915749011671,0.001,0.01826453643198144,0.20936211229165533,0.03533853100938532,1.0,151.0,2.3607751429313533,456.0,
0.13006288941463895,0.001,0.01837506158624297,0.18955333113526004,0.02928807195753155,1.0,152.0,2.9460301574018297,477.0,
0.12570860622033306,0.001,0.019761102011484826,0.18175403486453398,0.025288054400707364,1.0,151.0,2.6811123552966514,474.0,
0.10097639563917431,0.001,0.020553327431043204,0.13210875521030555,0.02646701011795358,1.0,150.0,2.681942734447881,490.0,
0.09152651334058165,0.001,0.020952389505973036,0.12103007358449631,0.02640915594646681,1.0,151.0,2.674152972487552,492.0,
0.09152651334058165,0.001,0.020952389505973036,0.12103007358449631,0.02640915594646681,1.0,151.0,2.674152972487552,492.0,
0.08287712177294926,0.001,0.02159038416910148,0.11285522944102422,0.02629786530200545,1.0,147.0,2.512572382871571,512.0,
0.08206798390252734,0.001,0.019936690810538293,0.12191795289079152,0.024284525531544254,1.0,141.0,2.0918327045615723,533.0,
0.09083191057621767,0.001,0.0212746147125188,0.13294946324265688,0.029933009777463257,1.0,149.0,2.3431477999317214,451.0,
0.06533241825811219,0.001,0.020025615792388433,0.13257398994802325,0.022232959914402977,1.0,148.0,2.195475997834823,477.0,
0.06134889039491609,0.001,0.021040450639996936,0.13014195278605206,0.024085703730873473,1.0,143.0,1.5983033762833085,469.0,
0.06146857880787737,0.001,0.02180172035568672,0.12991044349750142,0.022466386899580332,1.0,151.0,1.9277279313296578,446.0,
0.08014956546811539,0.001,0.0196335139547453,0.1304197874710605,0.02505678069199803,1.0,153.0,1.7542077788497388,527.0,
0.08014956546811539,0.001,0.0196335139547453,0.1304197874710605,0.02505678069199803,1.0,153.0,1.7542077788497388,527.0,
0.08495727739859958,0.001,0.02084282975770907,0.13370695881858552,0.028752848117393606,1.0,143.0,1.6319257087581578,504.0,
0.08264939299225853,0.001,0.020181739733415943,0.13303471223650767,0.0250041912819434,1.0,144.0,1.8361620690245213,519.0,
0.08264939299225853,0.001,0.020181739733415943,0.13303471223650767,0.0250041912819434,1.0,144.0,1.8361620690245213,519.0,
0.07933435341128228,0.001,0.01834355524686839,0.1360042684790513,0.019042509986259594,1.0,147.0,1.7969238407939683,462.0,
0.07933435341128228,0.001,0.01834355524686839,0.1360042684790513,0.019042509986259594,1.0,147.0,1.7969238407939683,462.0,
0.07933435341128228,0.001,0.01834355524686839,0.1360042684790513,0.019042509986259594,1.0,147.0,1.7969238407939683,462.0,
0.07933435341128228,0.001,0.01834355524686839,0.1360042684790513,0.019042509986259594,1.0,147.0,1.7969238407939683,462.0,
0.07933435341128228,0.001,0.01834355524686839,0.1360042684790513,0.019042509986259594,1.0,147.0,1.7969238407939683,462.0,
0.07192351744290358,0.001,0.018640991044183108,0.11540619907429399,0.019476775982144878,1.0,143.0,2.0478325379765416,470.0,
0.07192351744290358,0.001,0.018640991044183108,0.11540619907429399,0.019476775982144878,1.0,143.0,2.0478325379765416,470.0,
0.07192351744290358,0.001,0.018640991044183108,0.11540619907429399,0.019476775982144878,1.0,143.0,2.0478325379765416,470.0,
0.060109032401318166,0.001,0.017112995908265115,0.10888194207667569,0.01914067602563642,1.0,148.0,2.0789191188514797,506.0,
0.07048384901872087,0.001,0.018823714331987162,0.10039064014362482,0.023775162875231133,1.0,151.0,1.7194877705901412,551.0,
0.07204422154387699,0.001,0.021164430086429795,0.11822203780514488,0.027506255537735513,1.0,145.0,1.6997794193486637,504.0,
0.06645427000524465,0.001,0.019712918292877756,0.12980126169657283,0.019423142616634498,1.0,159.0,1.6258893495900408,531.0,
0.06645427000524465,0.001,0.019712918292877756,0.12980126169657283,0.019423142616634498,1.0,159.0,1.6258893495900408,531.0,
0.07325447763311792,0.001,0.02101986899151049,0.10595663705179709,0.019826266197240778,1.0,148.0,1.6542774889814569,462.0,
0.07325447763311792,0.001,0.02101986899151049,0.10595663705179709,0.019826266197240778,1.0,148.0,1.6542774889814569,462.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06416303778987967,0.001,0.020547204861951565,0.10926709296320528,0.021935980898733363,1.0,150.0,1.7409416358959149,531.0,
0.06235026590699497,0.001,0.0180504479981098,0.09737402038011114,0.022403501378814597,1.0,153.0,1.7367430852994972,529.0,
0.06235026590699497,0.001,0.0180504479981098,0.09737402038011114,0.022403501378814597,1.0,153.0,1.7367430852994972,529.0,
0.06596589609484688,0.001,0.018479931842210605,0.1068780028639267,0.023991542850047287,1.0,148.0,1.70721914150818,476.0,
0.06596589609484688,0.001,0.018479931842210605,0.1068780028639267,0.023991542850047287,1.0,148.0,1.70721914150818,476.0,
0.06596589609484688,0.001,0.018479931842210605,0.1068780028639267,0.023991542850047287,1.0,148.0,1.70721914150818,476.0,
0.06596589609484688,0.001,0.018479931842210605,0.1068780028639267,0.023991542850047287,1.0,148.0,1.70721914150818,476.0,
0.06596589609484688,0.001,0.018479931842210605,0.1068780028639267,0.023991542850047287,1.0,148.0,1.70721914150818,476.0,
0.06576228186547858,0.001,0.02070552284938823,0.0865884926053153,0.024833319567126918,1.0,151.0,1.5999410981657165,493.0,
0.06576228186547858,0.001,0.02070552284938823,0.0865884926053153,0.024833319567126918,1.0,151.0,1.5999410981657165,493.0,
0.07616736002789594,0.001,0.020959918790595125,0.09921908134337235,0.025377276276909763,1.0,145.0,1.6577434927687043,521.0,
0.07487341552391932,0.001,0.020962791233602514,0.1105111966490149,0.032560165474838816,1.0,147.0,1.5666090583579362,482.0,
0.07487341552391932,0.001,0.020962791233602514,0.1105111966490149,0.032560165474838816,1.0,147.0,1.5666090583579362,482.0,
0.07487341552391932,0.001,0.020962791233602514,0.1105111966490149,0.032560165474838816,1.0,147.0,1.5666090583579362,482.0,
0.07487341552391932,0.001,0.020962791233602514,0.1105111966490149,0.032560165474838816,1.0,147.0,1.5666090583579362,482.0,
0.06973092647857633,0.001,0.02058068761317211,0.11623187534187433,0.030469611277105162,1.0,146.0,1.8002252115929596,521.0,
0.06973092647857633,0.001,0.02058068761317211,0.11623187534187433,0.030469611277105162,1.0,146.0,1.8002252115929596,521.0,
