T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,1,1,3,4,9,13,17,21,36,52,74,95,121,148,178,212,272,331,407,508,599,758,919,1211,1510,1926,2414,2992,3444,4060,4751,5524,6036,6413,6065,5457,5336,4982,4722,4491,4440,4080,3639,3356,3163,2992,2797,2588,2470,2262,2017,1795,1659,1507,1463,1363,1217,1087,984,871,799,766,731,657,621,562,484,429,415,404,358,331,305,263,238,217,187,157,130,123,110,102,88,82,70,55,48,48,45,40,41,34,26,21,16,15,12,12,11,9,11,8,8,6,10,7,6,6,5,5,4,4,4,5,5,5,5,4,3,
1,3,4,4,7,12,14,26,36,59,85,101,110,130,149,176,216,244,313,377,452,519,611,710,861,1073,1292,1624,2073,2726,3458,3989,4364,4760,4820,5072,4959,4949,5068,5011,4676,4356,4106,3812,3469,3162,3007,2860,2725,2489,2338,2118,1948,1765,1588,1489,1372,1220,1125,994,927,841,797,800,758,681,588,534,499,458,432,395,358,320,290,257,234,211,193,179,151,138,122,120,115,105,97,86,76,63,60,57,53,45,41,37,31,22,22,21,21,19,15,13,9,9,9,7,6,6,5,5,4,4,5,6,6,6,6,7,
1,2,2,2,2,4,4,7,13,24,36,64,97,136,179,228,281,336,391,449,540,641,781,969,1167,1341,1682,2051,2555,2918,3470,3874,4232,4463,4852,5212,5373,5823,6157,6018,5501,4942,4728,4531,4232,4149,3831,3731,3437,3031,2651,2422,2300,2114,1871,1650,1427,1253,1107,967,860,769,688,622,555,494,431,368,333,324,322,307,285,275,259,242,215,190,170,159,146,125,120,108,86,77,70,68,61,52,41,36,30,25,21,17,17,19,18,19,17,15,15,10,9,9,10,10,13,11,11,11,10,8,6,6,5,3,3,4,
1,2,4,4,5,8,12,18,27,33,58,84,112,133,156,197,262,321,398,492,583,739,930,1154,1394,1678,2040,2541,3055,3554,3862,4151,4135,4425,4660,4906,5486,5795,5647,5690,5676,5459,5261,5174,4741,4380,3979,3618,3301,3166,2942,2574,2273,1986,1837,1622,1465,1297,1147,1070,934,830,738,639,553,501,449,424,384,325,305,289,268,231,206,179,158,145,131,120,106,92,79,77,70,62,57,51,46,44,38,31,27,21,21,20,18,17,17,13,12,9,10,11,9,9,10,11,7,7,6,6,6,5,5,5,4,4,5,4,
1,2,6,7,12,19,26,29,40,46,65,83,117,136,170,210,271,328,386,446,548,719,859,1066,1260,1572,1805,1970,2246,2495,2860,3117,3596,3827,4014,4263,4366,4485,4751,4630,4448,4465,4350,4085,4130,3849,3392,3080,2859,2474,2182,2053,1891,1774,1642,1569,1389,1191,1038,913,800,727,668,571,511,427,392,364,355,328,311,280,261,240,217,187,175,176,160,135,115,111,92,83,76,59,51,41,36,27,21,19,14,11,9,9,12,11,7,7,5,7,6,7,8,9,9,9,9,7,5,6,7,5,5,5,7,8,11,12,
1,2,6,7,12,19,26,29,40,46,65,83,117,136,170,210,271,328,386,446,548,719,859,1066,1260,1572,1805,1970,2246,2495,2860,3117,3596,3827,4014,4263,4366,4485,4751,4630,4448,4465,4350,4085,4130,3849,3392,3080,2859,2474,2182,2053,1891,1774,1642,1569,1389,1191,1038,913,800,727,668,571,511,427,392,364,355,328,311,280,261,240,217,187,175,176,160,135,115,111,92,83,76,59,51,41,36,27,21,19,14,11,9,9,12,11,7,7,5,7,6,7,8,9,9,9,9,7,5,6,7,5,5,5,7,8,11,12,
1,2,6,7,12,19,26,29,40,46,65,83,117,136,170,210,271,328,386,446,548,719,859,1066,1260,1572,1805,1970,2246,2495,2860,3117,3596,3827,4014,4263,4366,4485,4751,4630,4448,4465,4350,4085,4130,3849,3392,3080,2859,2474,2182,2053,1891,1774,1642,1569,1389,1191,1038,913,800,727,668,571,511,427,392,364,355,328,311,280,261,240,217,187,175,176,160,135,115,111,92,83,76,59,51,41,36,27,21,19,14,11,9,9,12,11,7,7,5,7,6,7,8,9,9,9,9,7,5,6,7,5,5,5,7,8,11,12,
1,2,6,7,12,19,26,29,40,46,65,83,117,136,170,210,271,328,386,446,548,719,859,1066,1260,1572,1805,1970,2246,2495,2860,3117,3596,3827,4014,4263,4366,4485,4751,4630,4448,4465,4350,4085,4130,3849,3392,3080,2859,2474,2182,2053,1891,1774,1642,1569,1389,1191,1038,913,800,727,668,571,511,427,392,364,355,328,311,280,261,240,217,187,175,176,160,135,115,111,92,83,76,59,51,41,36,27,21,19,14,11,9,9,12,11,7,7,5,7,6,7,8,9,9,9,9,7,5,6,7,5,5,5,7,8,11,12,
1,2,6,7,12,19,26,29,40,46,65,83,117,136,170,210,271,328,386,446,548,719,859,1066,1260,1572,1805,1970,2246,2495,2860,3117,3596,3827,4014,4263,4366,4485,4751,4630,4448,4465,4350,4085,4130,3849,3392,3080,2859,2474,2182,2053,1891,1774,1642,1569,1389,1191,1038,913,800,727,668,571,511,427,392,364,355,328,311,280,261,240,217,187,175,176,160,135,115,111,92,83,76,59,51,41,36,27,21,19,14,11,9,9,12,11,7,7,5,7,6,7,8,9,9,9,9,7,5,6,7,5,5,5,7,8,11,12,
1,2,4,7,9,15,21,29,44,60,77,91,112,131,147,164,197,253,306,377,437,539,665,800,939,1112,1276,1428,1694,2041,2536,3069,3576,4109,4626,4910,4921,4819,4941,4761,4625,4508,4607,4441,4370,4325,3985,3597,3140,2720,2553,2329,2026,1875,1725,1565,1383,1164,996,898,793,706,647,605,560,510,479,396,350,344,329,301,252,226,201,173,141,127,119,106,87,75,64,58,54,40,35,34,25,22,20,18,14,12,15,13,12,10,8,7,6,5,5,7,6,6,7,7,7,8,10,11,8,7,7,7,6,4,3,2,
