gamma,psi,phi,initialBeta,betaJitter,
0.1358187447713902,0.001266676414739161,0.1368019689881522,0.4288530969578006,0.026733306359041475,
0.13453616986198647,0.0012673540177463084,0.13653824621089308,0.4235608994035013,0.026983540016723435,
0.13264512141516177,0.001314108558254556,0.13989697399697415,0.4190226225563324,0.0265121112565647,
0.13676140732423475,0.0012403331154019661,0.14195496281150138,0.4128896911777272,0.02540659442742236,
0.13777167321663766,0.00125397042759386,0.14219064417593613,0.40807573595336544,0.025858598490571663,
0.13466618809859468,0.001267227022543881,0.13992560729012068,0.4225713341797078,0.02531690892008346,
0.136291284680112,0.0012371421808716559,0.14196914069843417,0.40979541633972616,0.024694821415814906,
0.1348961846464558,0.0012146785894345884,0.14152034321448778,0.41772109748120173,0.024343073621454075,
0.14253679328471,0.0012298982061112063,0.1402417830068645,0.41904440206818344,0.02398015037993367,
0.13925044655535504,0.0012229257908327308,0.1388552494709319,0.40400612685468856,0.0246103122841668,
0.14084220136715286,0.0012161489753455433,0.1397185887071143,0.42129583574241686,0.025498666981798482,
0.1433421610524836,0.0011949753301567394,0.14207575606480546,0.43246646653332516,0.025317026406709745,
0.14362780354210078,0.0011657482581146237,0.14377450712401152,0.43188875477997163,0.024527958127866522,
0.14194512282111535,0.0011800334521215308,0.1422795249238138,0.4305784305895781,0.024197995150280243,
0.14033158732899806,0.0011782446425644905,0.13782359536321298,0.4244984525198716,0.023609972293584046,
0.14036599500305794,0.0011516918785723475,0.13102051727655498,0.42950692365318394,0.024026220987911087,
0.13954001412613473,0.001138358247384303,0.1286656925672988,0.4400770868868103,0.025274593155753762,
0.13886762413805856,0.001150193986756747,0.12967024137255026,0.44188852284427177,0.024843601365325554,
0.1353509736782989,0.0011298707798998908,0.1288804090879903,0.44478161599183985,0.024436830511054327,
0.13442048460034434,0.0011286420532803227,0.13055279020132105,0.44067193466009075,0.02562264510771873,
0.13305657307848298,0.0011000759240663237,0.13106392916309684,0.43082024812292163,0.026819992054295746,
0.1383041231069348,0.0011124247916466413,0.13272485219217336,0.427639731256078,0.02714572706293944,
0.13930836758164297,0.0011135763610735034,0.13279776514820113,0.42769806642839553,0.027761088284883786,
0.14106892056695464,0.001145670369477444,0.13586834508487305,0.42232561029539795,0.026652155815658447,
0.13764519809821005,0.00114259826361852,0.13731266513237167,0.4250541890938918,0.027284630953723587,
0.13869788666732882,0.0011311801823833108,0.1357353368968827,0.4464818681692959,0.02741693066455236,
0.13513912635012026,0.0011560095979139728,0.13634837506855405,0.43851641462561436,0.02716588341847116,
0.13418176016604152,0.0011672265089002468,0.13536641115412987,0.43646412227132053,0.02738587645558957,
0.13702660222619087,0.0011657886362715934,0.13499637214767704,0.4259961659139454,0.027131856620935126,
0.14368084577164497,0.0012188039466086553,0.135029594787083,0.4176847513675575,0.02655384682370917,
0.14458377091679483,0.0011903679587763308,0.1392518559467417,0.4135532446231525,0.025738668657247537,
0.14251569376882334,0.0011994073644933665,0.13591106092699481,0.3975248262710071,0.025510733822493845,
0.14404622900544445,0.001199166642457142,0.13430029007218788,0.3997094356366312,0.02559625735704955,
0.14013893642742722,0.0011792157744235999,0.13431725721567006,0.40927057840924963,0.026668854417691696,
0.1385506256200618,0.001223655457942758,0.1325929726274668,0.39399646398612964,0.02648862100529673,
0.13520142490352832,0.001224647333173194,0.13467122148515956,0.38503949394136233,0.026889972362767224,
0.143405170230111,0.0011888729491725636,0.1322521631182978,0.3831838512889442,0.02828280257081441,
0.1440184990634896,0.001203924751985659,0.13145596000766396,0.39186207668646567,0.02784986849298753,
0.1429655287178232,0.0011923892278790755,0.13021915967205563,0.38402154899283863,0.02832028424231461,
0.14219459682871452,0.001205913544934111,0.1336645620150433,0.38338549109140485,0.028243259614406532,
0.13745963660753793,0.0012329537618421347,0.13399225277143342,0.3795511731346503,0.02700800819638808,
0.13139532392260408,0.0012084588241039374,0.12857314972191516,0.36831716679924853,0.026767831200172863,
0.12402241594096036,0.0012478169529961001,0.12960036864142857,0.3729297514369962,0.02515662386628517,
0.12655798361941747,0.0012420011776682876,0.12917715863292578,0.36877947117085286,0.025304167814157962,
0.12737266302481665,0.0012427670072895113,0.1310457151040025,0.37486164927004,0.023773045006244484,
0.12608775587317841,0.0012297207734419163,0.1355596978573227,0.3806495031268567,0.023611853750908424,
0.1276530739307216,0.0012286073727506657,0.13611454484375834,0.3914397202794896,0.023713410978248323,
0.12742642921915148,0.0012274563006104738,0.13614643716117386,0.3817287556300667,0.023131073370144622,
0.12820067116883144,0.0012212626158576998,0.13628717478726152,0.3736321366318074,0.0226602926864732,
0.13211188754244282,0.001217963514498066,0.13824971298173216,0.36065698540469815,0.022517108628778797,
0.13303519559848945,0.0012343165985274302,0.14156247110717418,0.34609484008266794,0.022214698075783038,
0.13042893088944627,0.001244910529002961,0.14157077422568448,0.33917445724553374,0.02215121911455552,
0.12968075608987367,0.0012344870478843458,0.1399749411440954,0.32332180897236457,0.02347873516668541,
0.12406117089600602,0.0012526377222223939,0.14204030360341627,0.33488639805720305,0.02289428297724569,
0.12191425914109204,0.0011812037517848616,0.1440690602238366,0.35200358413374006,0.02313539960207535,
0.11873142309044912,0.0011622977815072585,0.14214686774560667,0.35137508433897285,0.023619127727084716,
0.11857933552872171,0.0011494289095537627,0.14328526927641547,0.34609443864672385,0.02320308569693745,
0.11970777611926003,0.0011628209701245618,0.14465116478659745,0.347045842511868,0.0229960489598745,
0.11765942042915717,0.0011912635316973612,0.1494396280125005,0.34321202844052995,0.023096671509294033,
0.11615386600744554,0.0012199053029887392,0.15522061408997492,0.32555198688195053,0.022955920326320274,
0.11665790733695793,0.0012227006471318765,0.15707196958435163,0.3288556462409942,0.02382091607933362,
0.11453184146851184,0.0012273767089011776,0.15743141982281647,0.3344258845361577,0.024053843789229843,
0.11544214265841236,0.0012028031182980334,0.16243867665110107,0.34417575823332747,0.024149809521157133,
0.1161903149404201,0.0012283785932424786,0.16784375314191138,0.3342427591872701,0.024150005708609215,
0.11851887045813538,0.0012480392794335328,0.16285380294952376,0.33099855654144955,0.023860556458765145,
0.1205456961623416,0.0012311348333062732,0.16123503692740734,0.33444594061173993,0.02384489721995849,
0.1188277051354826,0.0012236940628079088,0.16419251725481662,0.3380889429969363,0.02341473652285521,
0.11685514610504368,0.0012541173410118797,0.16073351678169362,0.3372458452609737,0.02283659713855931,
0.11683885248315892,0.0012450569286973161,0.16352691510800751,0.3331178739530632,0.022906444374612405,
0.11683885248315892,0.0012450569286973161,0.16352691510800751,0.3331178739530632,0.022906444374612405,
0.11515461977761847,0.0012575302467845025,0.16463525448153637,0.3385752234711983,0.02299121430608817,
0.11706500876232073,0.0012712604831960589,0.1602895391056738,0.34011094899732464,0.023015417402554604,
0.11750775616740684,0.0013056305952949085,0.15779608769650127,0.3457365128653429,0.02332829297067834,
0.11754873733266075,0.0013074150009753528,0.16042701436122989,0.3435990994123884,0.023482588941100804,
0.11795947904869532,0.001295764453625029,0.15613967618818456,0.34212670386315364,0.024395458084885538,
0.1150401067992314,0.0013100616201890832,0.14951138999099087,0.3354424194114432,0.02439682711571085,
0.11457673518275513,0.0012805093503184212,0.14590299023630848,0.34120193416618405,0.024553678036002672,
0.11622968535851379,0.0013196328444406772,0.15033432573999914,0.3356438417813906,0.024105297279987413,
0.11607301989800708,0.0013020474638388072,0.14596938481172075,0.3304838925681123,0.023510165032816777,
0.11869271013431226,0.00130798179223976,0.1455260751590744,0.32687950543316097,0.023378902826969035,
0.12151666297497694,0.0013072049977474352,0.14220054772938973,0.33124776983401066,0.023244743678693544,
0.11736222811816119,0.001300824027783413,0.13974449602861103,0.3287681339873298,0.02335431463839962,
0.11604144080726454,0.001297134222972967,0.1431758357527806,0.3267190648343607,0.024039014312283623,
0.11485727483394607,0.0012737709507772807,0.14700866730537543,0.3314976343324345,0.024141438085755498,
0.1165328125137238,0.0012801061695236796,0.15138792272327461,0.34033501199043037,0.02382478777933416,
0.1133846373440034,0.0012804307277480866,0.1423868586519474,0.3493061233261011,0.023689373637412667,
0.11415264790039652,0.0012140809103818608,0.1372163739570962,0.3507221199529364,0.024031310295184377,
0.11872386328793486,0.0011971916259815615,0.14059566128842937,0.3471821510370824,0.023564701410089803,
0.12039948058422142,0.0012068824814944587,0.13858541839779773,0.3517512479044679,0.023015248563170037,
0.11982269355931105,0.001229698595652561,0.14323070249939052,0.34373104436583807,0.022682642867772246,
0.1186688268097434,0.001255482209056683,0.14159481829944834,0.349400499344646,0.022748783475477978,
0.12150117691843769,0.0012525634300958462,0.1399613552902816,0.35227884598900616,0.02387480297669291,
0.12545098742712946,0.001275483823561427,0.13792953775457623,0.3501869288402552,0.02285889889063018,
0.12729334764215178,0.0012688180228950816,0.1397506855487864,0.34197697392143467,0.02211256031033619,
0.13181035637664026,0.0012818791545884947,0.13699154454331874,0.3463219404699109,0.022799120360473206,
0.12617776642735656,0.0013065341839101445,0.14248051767439185,0.33122802623380027,0.023397911034299983,
