T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,2,4,7,11,10,9,15,24,28,28,34,34,43,49,60,73,87,100,118,130,152,179,202,250,273,304,354,412,439,478,547,618,697,788,892,1007,1111,1222,1296,1406,1509,1652,1806,1939,2116,2248,2384,2561,2699,2866,3023,3214,3380,3547,3778,3900,3989,4038,3970,3939,3877,3843,3724,3667,3505,3368,3195,3018,2865,2726,2525,2314,2073,1848,1681,1471,1335,1223,1115,1023,913,843,766,693,613,549,488,441,402,378,349,324,294,259,228,202,184,164,145,132,124,105,93,85,78,73,64,55,48,48,46,44,41,37,30,29,26,25,26,26,24,22,17,15,14,14,14,12,11,11,11,9,7,7,7,6,4,4,4,
1,1,1,3,4,7,10,11,14,18,21,23,29,33,41,46,54,61,70,86,100,121,138,155,175,204,228,259,295,326,381,451,505,587,656,749,869,983,1092,1205,1333,1516,1641,1773,1958,2149,2375,2494,2693,2885,3015,3131,3236,3363,3489,3614,3669,3761,3866,3868,3922,3917,3903,3799,3677,3557,3417,3251,3076,2953,2756,2538,2359,2157,1975,1808,1646,1503,1389,1255,1145,1055,969,884,784,701,629,560,485,449,413,364,329,291,269,249,231,202,177,158,149,136,128,114,104,98,86,78,70,64,60,51,46,44,40,36,27,24,19,17,15,11,9,8,7,6,6,4,3,3,3,2,2,2,2,1,1,1,1,1,1,
1,2,2,5,6,8,11,10,17,22,24,31,33,33,40,44,57,66,64,77,93,98,114,138,154,184,210,272,322,379,449,513,584,690,786,851,959,1083,1180,1327,1475,1610,1762,1919,2068,2191,2291,2407,2601,2702,2861,2909,2976,3057,3215,3377,3451,3521,3616,3588,3550,3527,3495,3462,3355,3198,3073,2936,2719,2560,2344,2159,1979,1811,1633,1477,1329,1206,1101,994,886,769,691,620,561,509,455,404,371,339,298,267,242,217,204,178,164,150,121,112,103,97,87,80,71,60,56,51,49,42,36,33,30,27,27,25,24,20,19,18,14,14,15,16,13,11,11,9,9,7,6,6,6,5,6,7,6,5,5,5,5,
1,2,2,5,6,8,11,10,17,22,24,31,33,33,40,44,57,66,64,77,93,98,114,138,154,184,210,272,322,379,449,513,584,690,786,851,959,1083,1180,1327,1475,1610,1762,1919,2068,2191,2291,2407,2601,2702,2861,2909,2976,3057,3215,3377,3451,3521,3616,3588,3550,3527,3495,3462,3355,3198,3073,2936,2719,2560,2344,2159,1979,1811,1633,1477,1329,1206,1101,994,886,769,691,620,561,509,455,404,371,339,298,267,242,217,204,178,164,150,121,112,103,97,87,80,71,60,56,51,49,42,36,33,30,27,27,25,24,20,19,18,14,14,15,16,13,11,11,9,9,7,6,6,6,5,6,7,6,5,5,5,5,
1,1,2,3,5,9,11,12,12,17,25,25,35,39,45,56,71,74,89,116,130,145,171,201,244,274,316,358,416,486,561,634,744,791,861,972,1082,1184,1318,1431,1508,1675,1802,1987,2125,2277,2496,2686,2892,3110,3197,3302,3428,3468,3580,3650,3742,3774,3800,3785,3695,3647,3557,3519,3438,3357,3202,3063,2897,2724,2587,2427,2250,2080,1893,1712,1523,1385,1266,1139,1021,900,813,745,690,635,572,512,462,412,379,358,312,280,250,222,200,185,168,164,140,128,115,105,100,88,75,65,64,62,52,47,43,37,33,29,26,23,20,18,16,15,12,12,11,11,14,14,12,9,9,4,4,3,1,1,1,1,1,1,1,
1,1,2,3,5,9,11,12,12,17,25,25,35,39,45,56,71,74,89,116,130,145,171,201,244,274,316,358,416,486,561,634,744,791,861,972,1082,1184,1318,1431,1508,1675,1802,1987,2125,2277,2496,2686,2892,3110,3197,3302,3428,3468,3580,3650,3742,3774,3800,3785,3695,3647,3557,3519,3438,3357,3202,3063,2897,2724,2587,2427,2250,2080,1893,1712,1523,1385,1266,1139,1021,900,813,745,690,635,572,512,462,412,379,358,312,280,250,222,200,185,168,164,140,128,115,105,100,88,75,65,64,62,52,47,43,37,33,29,26,23,20,18,16,15,12,12,11,11,14,14,12,9,9,4,4,3,1,1,1,1,1,1,1,
1,1,1,3,6,6,8,13,16,16,24,24,32,35,43,53,64,76,84,99,123,142,152,183,202,222,252,298,331,382,439,512,576,669,749,818,917,1049,1173,1311,1436,1555,1717,1850,2038,2208,2395,2569,2776,2969,3091,3274,3382,3454,3611,3763,3827,3905,3938,3894,3911,3877,3789,3687,3587,3491,3341,3185,3003,2771,2566,2348,2125,1904,1721,1522,1352,1248,1082,980,891,822,758,693,602,542,473,418,362,325,288,261,225,205,188,170,159,149,133,120,113,95,84,74,66,65,61,52,48,45,41,39,35,34,28,25,22,22,19,15,14,14,11,10,10,7,7,7,5,4,3,2,2,2,2,2,2,2,1,0,0,
1,1,2,4,5,7,6,6,11,15,23,26,33,34,49,60,64,67,82,97,112,112,129,158,175,197,233,278,311,364,421,465,571,651,755,849,970,1077,1213,1359,1498,1671,1843,1995,2163,2325,2458,2632,2731,2883,2996,3127,3215,3305,3415,3492,3520,3623,3718,3710,3662,3596,3515,3436,3310,3213,3059,2886,2674,2461,2280,2126,1931,1758,1599,1484,1335,1195,1118,998,896,819,743,676,608,544,497,445,402,353,323,311,279,239,218,194,162,149,137,114,103,90,80,73,67,63,55,49,42,38,28,24,21,21,20,19,15,14,14,13,12,11,10,9,9,8,6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,
1,1,2,4,5,7,6,6,11,15,23,26,33,34,49,60,64,67,82,97,112,112,129,158,175,197,233,278,311,364,421,465,571,651,755,849,970,1077,1213,1359,1498,1671,1843,1995,2163,2325,2458,2632,2731,2883,2996,3127,3215,3305,3415,3492,3520,3623,3718,3710,3662,3596,3515,3436,3310,3213,3059,2886,2674,2461,2280,2126,1931,1758,1599,1484,1335,1195,1118,998,896,819,743,676,608,544,497,445,402,353,323,311,279,239,218,194,162,149,137,114,103,90,80,73,67,63,55,49,42,38,28,24,21,21,20,19,15,14,14,13,12,11,10,9,9,8,6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,
1,1,2,4,5,7,6,6,11,15,23,26,33,34,49,60,64,67,82,97,112,112,129,158,175,197,233,278,311,364,421,465,571,651,755,849,970,1077,1213,1359,1498,1671,1843,1995,2163,2325,2458,2632,2731,2883,2996,3127,3215,3305,3415,3492,3520,3623,3718,3710,3662,3596,3515,3436,3310,3213,3059,2886,2674,2461,2280,2126,1931,1758,1599,1484,1335,1195,1118,998,896,819,743,676,608,544,497,445,402,353,323,311,279,239,218,194,162,149,137,114,103,90,80,73,67,63,55,49,42,38,28,24,21,21,20,19,15,14,14,13,12,11,10,9,9,8,6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,
