T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,2,4,6,9,11,12,14,20,28,29,32,37,42,46,51,55,61,73,85,105,119,136,152,177,208,254,283,306,371,420,475,512,567,651,716,809,936,1066,1233,1354,1520,1664,1888,2083,2346,2596,2782,3104,3307,3467,3603,3657,3705,3786,3819,3960,4071,4078,4081,4035,3896,3791,3695,3494,3370,3146,3053,2884,2728,2523,2311,2119,1966,1811,1700,1623,1489,1352,1213,1134,1032,947,881,818,741,679,610,580,526,478,436,397,350,306,282,249,235,213,186,177,156,146,138,127,120,117,108,99,86,75,67,52,48,45,42,38,40,40,42,44,42,40,43,43,40,40,36,31,27,24,25,23,26,25,23,23,23,25,26,
1,1,2,3,4,8,9,11,14,18,23,30,37,42,53,59,72,73,87,96,107,126,141,175,192,216,231,270,312,334,394,465,543,598,662,723,786,869,941,1075,1185,1346,1517,1696,1869,2052,2186,2321,2535,2712,2961,3202,3468,3738,4044,4232,4313,4280,4211,4105,3911,3721,3574,3579,3565,3522,3370,3172,3024,2901,2825,2714,2543,2313,2088,1891,1760,1609,1460,1332,1231,1107,988,875,806,715,633,565,537,516,486,452,411,379,361,334,312,295,270,232,213,181,168,153,141,132,127,116,103,95,86,83,81,75,67,63,57,52,52,44,42,38,34,30,29,28,28,27,25,22,19,15,14,13,12,11,12,12,11,12,11,
1,1,2,3,4,8,9,11,14,18,23,30,37,42,53,59,72,73,87,96,107,126,141,175,192,216,231,270,312,334,394,465,543,598,662,723,786,869,941,1075,1185,1346,1517,1696,1869,2052,2186,2321,2535,2712,2961,3202,3468,3738,4044,4232,4313,4280,4211,4105,3911,3721,3574,3579,3565,3522,3370,3172,3024,2901,2825,2714,2543,2313,2088,1891,1760,1609,1460,1332,1231,1107,988,875,806,715,633,565,537,516,486,452,411,379,361,334,312,295,270,232,213,181,168,153,141,132,127,116,103,95,86,83,81,75,67,63,57,52,52,44,42,38,34,30,29,28,28,27,25,22,19,15,14,13,12,11,12,12,11,12,11,
1,1,2,3,4,8,9,11,14,18,23,30,37,42,53,59,72,73,87,96,107,126,141,175,192,216,231,270,312,334,394,465,543,598,662,723,786,869,941,1075,1185,1346,1517,1696,1869,2052,2186,2321,2535,2712,2961,3202,3468,3738,4044,4232,4313,4280,4211,4105,3911,3721,3574,3579,3565,3522,3370,3172,3024,2901,2825,2714,2543,2313,2088,1891,1760,1609,1460,1332,1231,1107,988,875,806,715,633,565,537,516,486,452,411,379,361,334,312,295,270,232,213,181,168,153,141,132,127,116,103,95,86,83,81,75,67,63,57,52,52,44,42,38,34,30,29,28,28,27,25,22,19,15,14,13,12,11,12,12,11,12,11,
1,1,2,3,4,8,9,11,14,18,23,30,37,42,53,59,72,73,87,96,107,126,141,175,192,216,231,270,312,334,394,465,543,598,662,723,786,869,941,1075,1185,1346,1517,1696,1869,2052,2186,2321,2535,2712,2961,3202,3468,3738,4044,4232,4313,4280,4211,4105,3911,3721,3574,3579,3565,3522,3370,3172,3024,2901,2825,2714,2543,2313,2088,1891,1760,1609,1460,1332,1231,1107,988,875,806,715,633,565,537,516,486,452,411,379,361,334,312,295,270,232,213,181,168,153,141,132,127,116,103,95,86,83,81,75,67,63,57,52,52,44,42,38,34,30,29,28,28,27,25,22,19,15,14,13,12,11,12,12,11,12,11,
1,2,2,3,5,7,9,13,16,21,28,29,40,49,59,72,85,102,121,140,164,177,194,220,247,267,277,271,286,316,348,363,394,430,486,532,608,718,791,893,1002,1132,1299,1464,1575,1727,1838,2017,2185,2465,2615,2861,3028,3243,3390,3475,3594,3658,3791,3897,3991,4008,3954,3839,3681,3522,3340,3054,2832,2568,2324,2138,1974,1779,1574,1452,1323,1202,1107,1049,970,869,796,756,688,654,609,563,495,439,401,382,355,327,303,271,260,239,222,195,173,149,141,128,110,103,85,74,69,63,61,55,52,48,38,34,32,32,28,24,25,22,23,20,20,19,20,22,26,25,25,23,23,20,21,21,20,26,24,23,22,
1,2,3,5,7,8,11,10,16,19,24,30,41,41,54,60,72,92,92,103,109,125,142,155,170,178,206,237,252,277,302,341,416,475,523,558,608,665,758,851,978,1087,1197,1300,1393,1480,1638,1787,1952,2104,2326,2535,2737,2854,3030,3219,3401,3533,3552,3579,3589,3602,3496,3253,3051,2833,2685,2552,2430,2314,2162,2030,1882,1697,1556,1445,1335,1257,1184,1117,1006,913,852,796,733,665,621,553,499,470,413,386,362,341,325,310,282,257,230,211,187,162,147,133,114,102,89,82,76,73,67,62,59,61,54,54,54,55,53,54,60,58,52,45,38,35,33,30,26,24,26,24,22,18,17,17,17,16,15,12,12,
1,1,2,3,6,8,8,9,13,16,20,25,33,38,49,55,69,78,81,111,134,140,165,178,196,211,221,249,270,309,347,409,434,491,534,583,677,748,847,946,1077,1204,1351,1554,1670,1829,2017,2255,2467,2663,2859,3105,3238,3337,3451,3518,3481,3526,3600,3598,3632,3501,3456,3389,3286,3082,2937,2788,2677,2546,2391,2213,2037,1888,1731,1592,1520,1393,1270,1159,1042,935,824,723,644,573,533,485,440,407,373,337,306,276,254,235,210,199,195,181,165,149,141,125,116,119,109,106,102,93,91,85,75,67,60,59,57,51,38,38,42,43,36,32,39,39,39,35,32,31,26,24,24,21,20,18,16,12,11,11,11,
1,1,2,3,6,8,8,9,13,16,20,25,33,38,49,55,69,78,81,111,134,140,165,178,196,211,221,249,270,309,347,409,434,491,534,583,677,748,847,946,1077,1204,1351,1554,1670,1829,2017,2255,2467,2663,2859,3105,3238,3337,3451,3518,3481,3526,3600,3598,3632,3501,3456,3389,3286,3082,2937,2788,2677,2546,2391,2213,2037,1888,1731,1592,1520,1393,1270,1159,1042,935,824,723,644,573,533,485,440,407,373,337,306,276,254,235,210,199,195,181,165,149,141,125,116,119,109,106,102,93,91,85,75,67,60,59,57,51,38,38,42,43,36,32,39,39,39,35,32,31,26,24,24,21,20,18,16,12,11,11,11,
1,1,2,3,6,8,8,9,13,16,20,25,33,38,49,55,69,78,81,111,134,140,165,178,196,211,221,249,270,309,347,409,434,491,534,583,677,748,847,946,1077,1204,1351,1554,1670,1829,2017,2255,2467,2663,2859,3105,3238,3337,3451,3518,3481,3526,3600,3598,3632,3501,3456,3389,3286,3082,2937,2788,2677,2546,2391,2213,2037,1888,1731,1592,1520,1393,1270,1159,1042,935,824,723,644,573,533,485,440,407,373,337,306,276,254,235,210,199,195,181,165,149,141,125,116,119,109,106,102,93,91,85,75,67,60,59,57,51,38,38,42,43,36,32,39,39,39,35,32,31,26,24,24,21,20,18,16,12,11,11,11,
1,1,2,3,6,8,8,9,13,16,20,25,33,38,49,55,69,78,81,111,134,140,165,178,196,211,221,249,270,309,347,409,434,491,534,583,677,748,847,946,1077,1204,1351,1554,1670,1829,2017,2255,2467,2663,2859,3105,3238,3337,3451,3518,3481,3526,3600,3598,3632,3501,3456,3389,3286,3082,2937,2788,2677,2546,2391,2213,2037,1888,1731,1592,1520,1393,1270,1159,1042,935,824,723,644,573,533,485,440,407,373,337,306,276,254,235,210,199,195,181,165,149,141,125,116,119,109,106,102,93,91,85,75,67,60,59,57,51,38,38,42,43,36,32,39,39,39,35,32,31,26,24,24,21,20,18,16,12,11,11,11,
1,1,2,3,4,6,6,8,13,19,28,36,41,48,60,59,72,72,84,98,106,121,139,159,185,214,247,270,294,325,362,405,456,524,585,629,708,795,889,1004,1125,1280,1429,1601,1835,2061,2248,2412,2513,2713,2951,3190,3468,3726,3909,4149,4329,4417,4562,4738,4697,4468,4193,3981,3724,3494,3324,3175,3032,2858,2724,2583,2408,2194,2003,1816,1644,1521,1380,1238,1140,1024,911,843,771,697,620,559,497,437,398,364,321,289,256,229,226,212,189,167,156,137,128,114,107,106,102,94,90,82,82,84,77,76,71,66,62,61,57,53,46,44,41,38,39,36,33,27,26,25,25,25,23,26,21,19,24,21,22,26,25,
1,1,1,3,3,5,6,8,12,14,23,28,37,41,47,59,74,87,97,104,120,137,153,179,199,216,245,264,301,337,380,440,522,623,712,779,858,955,1054,1171,1250,1405,1544,1698,1906,2136,2354,2539,2683,2916,3050,3203,3325,3448,3609,3719,3794,3935,3954,3992,3944,3977,3924,3769,3678,3624,3521,3452,3300,3098,2891,2612,2376,2152,1935,1771,1626,1470,1321,1198,1107,1002,916,823,765,688,614,553,507,461,416,377,340,318,302,277,266,244,224,201,183,168,146,142,133,116,110,112,107,102,96,92,83,73,66,61,59,54,52,51,51,46,42,38,35,35,34,30,29,26,25,24,26,23,23,22,23,22,19,21,20,
1,1,1,3,3,5,6,8,12,14,23,28,37,41,47,59,74,87,97,104,120,137,153,179,199,216,245,264,301,337,380,440,522,623,712,779,858,955,1054,1171,1250,1405,1544,1698,1906,2136,2354,2539,2683,2916,3050,3203,3325,3448,3609,3719,3794,3935,3954,3992,3944,3977,3924,3769,3678,3624,3521,3452,3300,3098,2891,2612,2376,2152,1935,1771,1626,1470,1321,1198,1107,1002,916,823,765,688,614,553,507,461,416,377,340,318,302,277,266,244,224,201,183,168,146,142,133,116,110,112,107,102,96,92,83,73,66,61,59,54,52,51,51,46,42,38,35,35,34,30,29,26,25,24,26,23,23,22,23,22,19,21,20,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
