gamma,psi_distribs_0,psi_changetime_0,psi_distribs_1,phi_distribs_0,phi_changetime_0,phi_distribs_1,initialBeta,betaJitter,
0.14857303262008584,3.17566309389058E-4,35.0,0.0029359846767597077,0.005143197170317545,35.0,0.04418750173610427,0.18064135980526586,0.0595735082420588,
0.14857303262008584,3.17566309389058E-4,35.0,0.0029359846767597077,0.005143197170317545,35.0,0.04418750173610427,0.18064135980526586,0.0595735082420588,
0.16282385899331717,3.025109634887244E-4,35.0,0.0027579234466369516,0.004988677725450362,35.0,0.04872527256788123,0.15307614490800958,0.05702062579389213,
0.16024413257403966,2.8720493081017503E-4,35.0,0.0028744673363520034,0.005259471341939156,35.0,0.05831910002479724,0.13575973451139167,0.056012807225013096,
0.17790963943687305,2.7029985396770145E-4,35.0,0.0031831564766735955,0.005731058609120983,35.0,0.07018161094279608,0.14166403296548596,0.06202403570847298,
0.18931241121149242,2.6688727799560304E-4,35.0,0.002951030313480177,0.00592643242676485,35.0,0.06463031884386093,0.162067344669087,0.056078805915230234,
0.19705572983657724,2.1178088812635388E-4,35.0,0.0033060445360641156,0.005255560117678244,35.0,0.0662598348767579,0.16380656780516614,0.05351730515006792,
0.16578407421925798,2.215518155065283E-4,35.0,0.003778987372864693,0.005694196681661018,35.0,0.07038431520370961,0.20356329405514118,0.04097074579275887,
0.15873547863685622,2.055264333003549E-4,35.0,0.003011945470774198,0.006550423936363618,35.0,0.0671290878858069,0.15985120816743512,0.03169620169158853,
0.15873547863685622,2.055264333003549E-4,35.0,0.003011945470774198,0.006550423936363618,35.0,0.0671290878858069,0.15985120816743512,0.03169620169158853,
0.14076700451290367,1.92575645494342E-4,35.0,0.002611989718428081,0.00644326569495138,35.0,0.06113847210369215,0.16481757741079778,0.03324660012137246,
0.1581333022421906,1.8957780396138476E-4,35.0,0.0028227991161885943,0.006141552615543805,35.0,0.0676683786281693,0.18580378612328993,0.03835465097668122,
0.14464280366826734,1.7996262647632476E-4,35.0,0.002813228734392823,0.005461638439950198,35.0,0.05976889270378289,0.19258737048862648,0.03666043464224874,
0.14464280366826734,1.7996262647632476E-4,35.0,0.002813228734392823,0.005461638439950198,35.0,0.05976889270378289,0.19258737048862648,0.03666043464224874,
0.14464280366826734,1.7996262647632476E-4,35.0,0.002813228734392823,0.005461638439950198,35.0,0.05976889270378289,0.19258737048862648,0.03666043464224874,
0.14464280366826734,1.7996262647632476E-4,35.0,0.002813228734392823,0.005461638439950198,35.0,0.05976889270378289,0.19258737048862648,0.03666043464224874,
0.17699718432860154,1.7271676808920867E-4,35.0,0.003288603285877357,0.00602085885371123,35.0,0.05322605968199354,0.20490706854729465,0.03875076399751924,
0.17699718432860154,1.7271676808920867E-4,35.0,0.003288603285877357,0.00602085885371123,35.0,0.05322605968199354,0.20490706854729465,0.03875076399751924,
0.16805207891864227,1.7056868038114892E-4,35.0,0.0029389357678340547,0.005705028248344313,35.0,0.058485864346410205,0.1725268968522506,0.03462659970313022,
0.151956451487512,1.831605638688944E-4,35.0,0.0029277141775137976,0.005623831318617724,35.0,0.06369501894811855,0.16995809253461117,0.03373700246924359,
0.16321011494678592,2.2256582963638166E-4,35.0,0.0027012049774284143,0.005346165501245546,35.0,0.06841951626146486,0.17387909621858072,0.032634933904457916,
0.16321011494678592,2.2256582963638166E-4,35.0,0.0027012049774284143,0.005346165501245546,35.0,0.06841951626146486,0.17387909621858072,0.032634933904457916,
0.16321011494678592,2.2256582963638166E-4,35.0,0.0027012049774284143,0.005346165501245546,35.0,0.06841951626146486,0.17387909621858072,0.032634933904457916,
0.15167604216930614,2.4197208412945267E-4,35.0,0.003092966504098416,0.00760734973808786,35.0,0.060480464710005594,0.20801286067035601,0.04142919228894715,
0.15167604216930614,2.4197208412945267E-4,35.0,0.003092966504098416,0.00760734973808786,35.0,0.060480464710005594,0.20801286067035601,0.04142919228894715,
0.16616672637541904,2.7151955985156714E-4,35.0,0.002959396850330264,0.00626011963353135,35.0,0.05828369013551311,0.1934720401523598,0.04471682006651126,
0.157340033781063,2.4387324860732003E-4,35.0,0.003062330868753779,0.005450571458540351,35.0,0.06240421207718015,0.20600491627094097,0.0402060112221558,
0.157340033781063,2.4387324860732003E-4,35.0,0.003062330868753779,0.005450571458540351,35.0,0.06240421207718015,0.20600491627094097,0.0402060112221558,
0.157340033781063,2.4387324860732003E-4,35.0,0.003062330868753779,0.005450571458540351,35.0,0.06240421207718015,0.20600491627094097,0.0402060112221558,
0.15389943875974338,2.0959888181344832E-4,35.0,0.0027895547483998465,0.005742547201210111,35.0,0.05980440253664801,0.24033293355777555,0.03391250860898651,
0.15566007136336402,1.811972832633556E-4,35.0,0.00305085172180113,0.006074400721303735,35.0,0.05921855850189087,0.2821978603524496,0.03683287337732604,
0.15566007136336402,1.811972832633556E-4,35.0,0.00305085172180113,0.006074400721303735,35.0,0.05921855850189087,0.2821978603524496,0.03683287337732604,
0.1508349018846381,2.46346037743222E-4,35.0,0.002830787244532563,0.005577925870028478,35.0,0.0622419921115116,0.29321178333400966,0.030609076247088123,
0.1508349018846381,2.46346037743222E-4,35.0,0.002830787244532563,0.005577925870028478,35.0,0.0622419921115116,0.29321178333400966,0.030609076247088123,
0.1508349018846381,2.46346037743222E-4,35.0,0.002830787244532563,0.005577925870028478,35.0,0.0622419921115116,0.29321178333400966,0.030609076247088123,
0.15838042318286205,2.2900766742883747E-4,35.0,0.0030741138604020455,0.005470927239010482,35.0,0.05344897992229368,0.33150037025925194,0.04368538047008426,
0.15073715408520558,2.270691035358084E-4,35.0,0.0028598408870653047,0.004972564782628738,35.0,0.05602848159157304,0.3128399433815902,0.04091908953172869,
0.17588113143206127,1.8613612002663023E-4,35.0,0.0028701855773048492,0.005740021934303375,35.0,0.051536261669810506,0.24780058529398416,0.03988269503850525,
0.15817456833656193,1.9596679638380363E-4,35.0,0.0026984936466628515,0.00538883897878602,35.0,0.04874581348888978,0.24243864373998575,0.03803277965190056,
0.17889069281749814,1.5738626396040976E-4,35.0,0.0025540239031990397,0.005529425795576676,35.0,0.05307426500423369,0.24880951421567613,0.03032390085305774,
0.18897564372150286,1.9336747838832665E-4,35.0,0.0027607424311751508,0.007424955548600089,35.0,0.051911998356327385,0.32256977451987845,0.039293388833062985,
0.14423767782193186,1.6862723828479004E-4,35.0,0.002576162503563914,0.006601708902424497,35.0,0.043712459049295334,0.19362059129947776,0.0502765983747252,
0.13708496732542144,1.5162563655875337E-4,35.0,0.0024177253222984643,0.0061560101255868326,35.0,0.048094126872009486,0.19587447145499784,0.04448466811225826,
0.14648674395945177,1.908228748017611E-4,35.0,0.0020895765755272154,0.006761871717103752,35.0,0.04577350387874911,0.2693412849525111,0.03288855512642292,
0.14648674395945177,1.908228748017611E-4,35.0,0.0020895765755272154,0.006761871717103752,35.0,0.04577350387874911,0.2693412849525111,0.03288855512642292,
0.15825224747537822,1.564032928172112E-4,35.0,0.0023772539822537217,0.00658234867359739,35.0,0.04297660297894508,0.31502303267065507,0.028502167205473782,
0.18339517760912513,1.589316637740514E-4,35.0,0.0022360753700140555,0.005635706090492466,35.0,0.04109652193258968,0.28663309240952306,0.02995430246674408,
0.17385542746535892,1.5486311009357573E-4,35.0,0.002307487521443208,0.006008165616783842,35.0,0.044000761237440206,0.37592886827297856,0.026324168209045637,
0.17385542746535892,1.5486311009357573E-4,35.0,0.002307487521443208,0.006008165616783842,35.0,0.044000761237440206,0.37592886827297856,0.026324168209045637,
0.17385542746535892,1.5486311009357573E-4,35.0,0.002307487521443208,0.006008165616783842,35.0,0.044000761237440206,0.37592886827297856,0.026324168209045637,
0.17385542746535892,1.5486311009357573E-4,35.0,0.002307487521443208,0.006008165616783842,35.0,0.044000761237440206,0.37592886827297856,0.026324168209045637,
0.17385542746535892,1.5486311009357573E-4,35.0,0.002307487521443208,0.006008165616783842,35.0,0.044000761237440206,0.37592886827297856,0.026324168209045637,
0.14856646250437006,1.6550943148313404E-4,35.0,0.002617923782554817,0.006275562313167414,35.0,0.04501897424480139,0.38084108922672616,0.03070211071057574,
0.14856646250437006,1.6550943148313404E-4,35.0,0.002617923782554817,0.006275562313167414,35.0,0.04501897424480139,0.38084108922672616,0.03070211071057574,
0.14856646250437006,1.6550943148313404E-4,35.0,0.002617923782554817,0.006275562313167414,35.0,0.04501897424480139,0.38084108922672616,0.03070211071057574,
0.16121540236260173,1.761564746633729E-4,35.0,0.002294378815676528,0.006257300707365765,35.0,0.04684812993402997,0.4072189314482775,0.032549221834112435,
0.1450724820881757,1.7282224490207894E-4,35.0,0.002555555216006761,0.006409476573369428,35.0,0.059672544220814576,0.37294327131820343,0.03140129823310642,
0.15048187900219837,1.7325989152562455E-4,35.0,0.003160454481871077,0.0056936083122662825,35.0,0.05844410255767584,0.4362525657541439,0.03599250495959906,
0.15587194714131464,1.8106255499276652E-4,35.0,0.003190846669794789,0.005699820872561834,35.0,0.06580959414362267,0.5232137982018227,0.03310683902956429,
0.13600586813254778,1.647800332226914E-4,35.0,0.0027493693271010244,0.00695706001931428,35.0,0.051044801381804776,0.5382505904587896,0.04001580111552848,
0.1390469966030467,1.6996446772472108E-4,35.0,0.0025252492146242453,0.005836154426400889,35.0,0.051770478800632576,0.5712068330759225,0.03307969822303392,
0.1589421037848028,2.0756187746981083E-4,35.0,0.0027030232221230757,0.005720428478599708,35.0,0.0459282959098461,0.5511108955197123,0.04396009098870764,
0.16551581621891132,1.984440266811362E-4,35.0,0.00263442505256312,0.00720488295086326,35.0,0.05123221115475787,0.5547493474580144,0.042878783860751016,
