T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,1,4,7,10,14,21,21,28,38,45,56,71,111,149,204,257,293,354,386,416,427,517,638,838,1104,1436,1857,2278,2617,3297,3796,4292,4875,5587,6440,6377,6293,5593,5535,5453,5352,5101,4681,4342,3813,3723,3736,3310,2879,2516,2222,2019,2081,1896,1624,1428,1229,1074,934,830,777,737,646,585,510,435,384,342,315,332,300,290,285,262,244,218,196,180,153,134,124,106,90,81,74,64,54,46,41,37,38,33,31,30,26,24,21,13,10,11,9,7,7,9,10,10,9,13,14,10,10,10,9,8,5,3,4,5,5,
1,1,4,7,10,14,21,21,28,38,45,56,71,111,149,204,257,293,354,386,416,427,517,638,838,1104,1436,1857,2278,2617,3297,3796,4292,4875,5587,6440,6377,6293,5593,5535,5453,5352,5101,4681,4342,3813,3723,3736,3310,2879,2516,2222,2019,2081,1896,1624,1428,1229,1074,934,830,777,737,646,585,510,435,384,342,315,332,300,290,285,262,244,218,196,180,153,134,124,106,90,81,74,64,54,46,41,37,38,33,31,30,26,24,21,13,10,11,9,7,7,9,10,10,9,13,14,10,10,10,9,8,5,3,4,5,5,
1,2,4,9,8,10,11,18,24,31,41,53,80,109,149,194,220,225,264,329,435,557,674,847,1071,1310,1648,2087,2505,2945,3352,3738,3954,4495,5238,5633,5707,5593,5391,5152,4876,4804,4454,4481,4420,4150,3914,3801,3609,3077,2710,2312,2192,2049,1821,1604,1356,1297,1222,1124,987,874,780,660,566,546,499,458,410,398,367,352,344,318,292,269,229,202,177,151,145,126,110,96,82,74,59,49,40,33,29,24,21,18,17,20,17,19,20,16,15,15,15,13,16,11,9,8,7,6,5,4,4,3,3,3,3,4,4,4,
1,2,3,6,6,9,13,18,26,30,40,60,77,98,128,150,182,198,232,322,409,514,619,750,868,1072,1364,1757,2250,2682,3204,3493,3831,3895,4046,3960,4066,4302,4516,4667,4736,4635,4568,4229,3770,3527,3129,2793,2475,2229,1944,1871,1699,1600,1508,1362,1207,1166,1030,919,842,727,662,598,519,452,406,368,340,296,267,256,233,216,179,154,135,134,128,124,97,88,81,72,62,58,55,50,49,43,36,29,25,19,16,11,11,11,11,5,6,8,5,5,6,9,10,9,4,3,3,4,4,4,4,4,4,3,3,3,
1,3,4,8,9,12,16,22,25,30,34,53,68,90,111,141,175,198,257,350,426,554,649,804,1008,1365,1745,2095,2191,2307,2409,2726,2845,2918,3354,3623,3647,3588,3454,3722,3770,3634,3284,3139,2913,2519,2373,2502,2383,2189,1923,1810,1575,1351,1145,1027,912,761,664,600,579,611,576,498,409,348,306,251,220,215,245,272,277,232,202,168,148,127,115,88,72,65,56,51,48,44,36,37,37,32,35,26,19,18,12,12,9,10,7,6,7,6,6,5,7,9,9,11,10,9,6,5,2,1,2,1,1,1,-1,-1,
1,2,3,4,6,6,9,11,17,21,26,41,62,86,117,166,192,214,268,336,417,462,525,628,782,988,1289,1573,1967,2520,3063,3481,3650,3577,3536,3739,3970,4059,4056,3915,3680,3570,3465,3414,3477,2940,2491,2367,2217,2188,1956,1668,1599,1520,1458,1433,1286,1062,902,767,658,589,486,408,362,334,341,310,290,304,291,272,250,236,217,218,180,148,129,118,96,84,76,80,73,70,63,52,50,38,36,33,34,28,16,16,18,15,12,9,7,6,5,6,4,4,6,8,8,6,4,5,6,6,7,6,6,6,7,7,
1,2,3,5,6,10,17,19,27,30,38,58,73,101,126,180,230,284,366,500,586,679,840,1034,1325,1627,2055,2440,2840,3186,3226,3028,3169,3379,3505,3834,4093,4198,4137,3724,3338,3053,2964,2981,2826,2694,2529,2370,2256,2046,1802,1686,1671,1554,1340,1127,967,800,753,656,634,580,516,460,378,336,292,251,219,212,214,211,218,197,178,164,132,107,100,87,75,70,54,40,37,29,26,28,32,30,30,30,25,21,16,12,10,11,10,10,11,11,10,8,8,8,5,5,5,4,4,3,3,3,1,1,1,2,2,3,
1,2,4,7,7,11,17,23,32,27,32,55,73,98,134,192,251,324,375,414,500,610,754,865,1073,1174,1367,1546,1729,1983,2268,2612,2845,2908,2917,3067,3269,3589,3785,3838,3732,3670,3412,3133,2965,2948,2839,2550,2286,2038,1823,1659,1532,1357,1177,1077,945,845,714,623,546,485,416,389,336,305,275,275,282,275,272,244,220,178,163,136,108,98,83,78,68,62,60,54,45,41,37,33,27,20,20,20,17,17,12,10,10,10,7,7,6,7,9,8,9,10,9,7,6,6,5,5,6,5,5,4,4,5,6,6,
1,1,3,5,6,9,10,13,18,22,27,42,65,87,105,133,160,201,259,312,366,437,518,633,810,968,1224,1476,1808,2139,2559,2907,3216,3547,3719,3789,3626,3638,3723,3820,3916,3765,3580,3351,3106,2919,2663,2408,2283,2106,1950,1727,1514,1336,1170,1045,945,859,780,725,694,660,615,554,491,424,364,304,263,239,220,207,189,157,139,131,128,122,122,109,96,79,70,60,56,46,34,29,28,27,26,23,23,18,13,8,6,3,3,4,3,3,4,4,2,3,3,5,6,6,8,7,7,8,7,6,4,6,6,5,
1,1,3,5,6,9,10,13,18,22,27,42,65,87,105,133,160,201,259,312,366,437,518,633,810,968,1224,1476,1808,2139,2559,2907,3216,3547,3719,3789,3626,3638,3723,3820,3916,3765,3580,3351,3106,2919,2663,2408,2283,2106,1950,1727,1514,1336,1170,1045,945,859,780,725,694,660,615,554,491,424,364,304,263,239,220,207,189,157,139,131,128,122,122,109,96,79,70,60,56,46,34,29,28,27,26,23,23,18,13,8,6,3,3,4,3,3,4,4,2,3,3,5,6,6,8,7,7,8,7,6,4,6,6,5,
1,2,4,7,5,9,10,12,18,18,32,45,58,78,109,134,164,194,243,290,347,407,493,575,714,876,1070,1309,1592,1910,2379,2816,3312,3713,3912,4013,3975,4148,4300,4410,4159,4195,4268,4000,3549,3116,2929,2681,2498,2273,2038,1771,1513,1327,1292,1180,1068,935,824,702,662,586,521,500,477,460,423,379,351,297,282,265,251,223,191,153,141,128,113,100,83,67,62,57,49,42,36,33,26,25,25,22,21,18,17,13,14,12,12,12,9,9,5,5,6,8,9,9,8,8,7,5,3,4,6,5,4,3,3,3,
