T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,2,3,4,4,7,9,10,9,15,22,29,35,43,58,63,68,65,70,78,89,105,129,149,182,190,196,212,242,275,308,336,414,490,623,814,1033,1141,1182,1243,1392,1658,1872,2034,2208,2541,2776,2950,2793,2678,2758,2782,2946,3076,3421,3772,3939,3677,3366,3207,2918,2658,2675,2633,2794,2802,2609,2405,2272,2131,1905,1808,1590,1385,1307,1269,1153,1080,934,803,707,630,566,487,415,365,338,321,295,275,254,239,234,207,193,168,154,138,127,117,115,101,88,79,72,59,60,57,54,51,45,47,40,34,29,29,26,16,14,11,10,10,9,8,8,8,7,6,6,6,4,3,4,4,4,4,4,3,2,2,
1,1,2,3,4,4,7,9,10,9,15,22,29,35,43,58,63,68,65,70,78,89,105,129,149,182,190,196,212,242,275,308,336,414,490,623,814,1033,1141,1182,1243,1392,1658,1872,2034,2208,2541,2776,2950,2793,2678,2758,2782,2946,3076,3421,3772,3939,3677,3366,3207,2918,2658,2675,2633,2794,2802,2609,2405,2272,2131,1905,1808,1590,1385,1307,1269,1153,1080,934,803,707,630,566,487,415,365,338,321,295,275,254,239,234,207,193,168,154,138,127,117,115,101,88,79,72,59,60,57,54,51,45,47,40,34,29,29,26,16,14,11,10,10,9,8,8,8,7,6,6,6,4,3,4,4,4,4,4,3,2,2,
1,1,1,1,1,2,3,5,4,5,4,8,11,15,19,26,30,34,45,54,61,62,78,99,115,136,156,176,219,246,276,299,335,398,471,587,691,838,1006,1147,1357,1529,1820,2117,2418,2734,3019,3113,3245,3042,2801,3026,3251,3296,3656,3688,3827,4366,4726,4603,4162,3766,3374,3074,2826,2754,2763,2666,2648,2551,2310,2070,1819,1600,1382,1248,1175,1171,1064,926,816,713,616,554,515,475,421,392,363,336,321,280,256,224,216,199,171,158,146,123,105,97,86,82,83,83,75,67,55,48,42,37,35,32,27,22,21,22,16,11,8,7,9,10,13,13,11,12,14,13,15,15,13,14,10,8,7,5,4,4,4,
1,2,3,4,5,6,8,11,12,13,14,16,18,24,27,33,32,39,46,45,55,58,63,83,106,120,147,174,202,236,295,395,480,546,660,795,887,1047,1178,1316,1495,1744,2017,2279,2554,2829,2973,2914,2952,2856,2919,2886,2683,2797,3185,3415,3881,4108,3977,3781,3651,3499,3290,3053,2763,2719,2519,2500,2358,2122,1973,1807,1770,1682,1529,1365,1236,1174,1013,881,770,691,626,583,505,463,408,378,343,307,277,265,256,227,213,225,197,169,147,132,111,105,94,87,76,65,70,63,55,49,44,41,38,32,32,31,31,28,24,18,16,19,19,14,15,11,15,16,14,13,12,9,8,6,7,8,7,6,6,7,7,
1,2,5,4,4,5,9,8,11,14,19,23,26,24,23,25,33,39,45,64,72,86,99,128,172,205,228,239,264,288,311,352,404,455,556,661,744,856,965,1105,1338,1612,1978,2405,2781,3138,3457,3094,2935,3040,3132,3183,3402,3968,3940,3805,3766,3760,4089,3961,3742,3455,3282,3017,2875,2933,3115,3233,3106,2733,2350,2261,2115,1906,1628,1505,1355,1219,1105,1097,944,838,794,682,592,509,461,429,370,322,285,240,206,182,159,140,124,116,102,92,90,86,81,70,60,54,48,40,36,32,27,20,16,19,19,14,14,12,13,13,11,10,10,9,10,11,9,9,9,9,10,11,6,6,7,6,6,7,7,7,7,
1,1,1,1,2,5,6,7,8,10,14,14,15,18,22,25,31,38,42,53,58,64,71,84,103,120,145,162,204,240,269,310,355,442,545,619,697,801,860,1020,1205,1412,1711,1899,2173,2340,2532,2729,2880,2998,2860,2899,3078,3168,3283,3532,3799,3981,3876,3727,3590,3410,3025,2938,2806,2641,2470,2249,2177,2152,2064,2074,2015,1796,1633,1415,1214,1093,1088,1024,939,828,713,630,533,463,419,351,328,320,291,272,254,218,197,187,175,156,139,119,110,96,81,66,55,48,40,38,39,35,32,29,23,18,12,11,10,11,11,10,9,9,7,8,7,5,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,
1,2,2,4,5,7,9,13,13,12,19,20,31,38,39,41,43,43,50,52,58,57,62,75,87,107,128,168,216,248,270,321,345,381,461,639,804,942,1065,1233,1447,1507,1651,1733,1766,1896,1959,2143,2494,3036,3374,3805,4056,3969,3958,4069,4061,4143,4307,4423,4430,3813,3238,2953,2732,2641,2448,2373,2225,2095,1938,1855,1885,1665,1506,1291,1249,1175,1103,1045,937,830,768,682,581,526,464,401,360,323,281,267,233,187,164,152,129,116,111,97,82,72,72,57,57,54,46,45,39,33,25,26,24,19,16,10,6,3,3,4,3,4,3,5,3,3,3,3,2,2,1,1,1,2,2,2,1,1,1,1,1,
1,2,3,4,7,11,13,22,23,23,21,24,33,39,46,54,72,87,105,112,104,102,112,121,132,158,174,208,248,321,391,488,561,629,754,835,901,951,1063,1123,1296,1478,1877,2158,2407,2667,2754,2977,3078,3201,3190,3194,2891,2660,2875,3110,3562,3843,3972,3763,3581,3323,3103,2881,2687,2359,2180,2088,2166,2231,2206,2055,2024,1875,1758,1537,1329,1138,1033,889,755,677,587,556,539,528,493,443,390,329,306,286,281,273,255,221,206,185,158,137,128,111,88,83,76,81,71,60,59,52,46,42,37,32,27,23,20,22,18,15,13,13,9,8,6,4,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,
1,2,4,3,4,8,5,8,11,15,18,23,24,25,28,31,34,46,55,64,77,89,101,108,109,129,158,165,179,203,230,283,340,410,522,652,786,834,939,1117,1302,1552,1822,1953,2090,2193,2424,2449,2646,2838,2792,2884,3037,3073,3151,3365,3546,3732,3726,3719,3540,3312,3066,2778,2610,2598,2339,2286,2298,2226,2119,1884,1646,1539,1326,1206,1044,965,913,889,791,674,613,581,541,497,477,457,447,414,361,302,266,246,211,174,151,131,125,103,94,87,81,70,61,55,46,41,37,35,32,30,24,16,12,13,12,12,11,11,12,12,10,10,11,11,13,12,12,8,7,5,3,3,2,2,2,1,1,1,1,
1,1,1,2,3,3,6,8,11,14,21,31,38,46,60,69,87,92,91,106,112,133,139,141,145,142,148,163,197,214,242,291,354,430,550,729,905,1106,1369,1608,1726,1784,1776,1854,2003,2150,2103,2299,2436,2840,3276,3720,3998,3887,3996,3680,3736,3830,3712,3762,3538,3199,2835,2802,2724,2604,2539,2467,2339,2159,1848,1660,1562,1391,1220,1170,1090,1075,1009,899,881,789,681,607,563,492,403,369,331,299,272,224,199,183,166,154,138,113,97,83,76,70,65,48,44,39,36,35,35,34,26,23,23,20,17,18,19,16,11,12,11,9,8,9,8,6,5,4,5,4,4,3,3,1,0,0,0,0,0,0,0,
