"t","R","S","I","psi"
"13.2965947022492","41","19894","65","1"
"13.3247771797297","42","19894","64","1"
"13.3594385038682","42","19893","65","1"
"13.362567908288","43","19893","64","1"
"13.3639727967752","43","19892","65","1"
"13.4351304157137","43","19891","66","1"
"13.4414438570854","43","19890","67","1"
"13.5620942088488","43","19889","68","1"
"13.5754992350194","43","19888","69","1"
"13.5789707378739","44","19888","68","1"
"13.5875287073188","44","19887","69","1"
"13.5985940104185","44","19886","70","1"
"13.6058707772661","44","19885","71","1"
"13.632151190214","44","19884","72","1"
"13.6799768940054","45","19884","71","1"
"13.6850611529915","45","19883","72","1"
"13.7301981936815","45","19882","73","1"
"13.7613162354971","45","19881","74","1"
"13.7623055480906","45","19880","75","1"
"13.7771407111517","46","19880","74","1"
"13.7926058268293","46","19879","75","1"
"13.8742240337743","46","19878","76","1"
"13.8991281739834","46","19877","77","1"
"13.913831593314","46","19876","78","1"
"13.9211525800278","46","19875","79","1"
"13.9309849698684","47","19875","78","1"
"13.963832047579","48","19875","77","1"
"13.9647820275406","48","19874","78","1"
"14.033305528941","48","19873","79","1"
"14.0711598042177","48","19872","80","1"
"14.076250559174","48","19871","81","1"
"14.0894188226594","48","19870","82","1"
"14.1496925019113","48","19869","83","1"
"14.172761424281","49","19869","82","1"
"14.1777391233701","49","19868","83","1"
"14.1980841225759","49","19867","84","1"
"14.2503274513223","49","19866","85","1"
"14.2549519394296","49","19865","86","1"
"14.2869678492739","49","19864","87","1"
"14.2927370028626","50","19864","86","1"
"14.31648564564","50","19863","87","1"
"14.317066366204","50","19862","88","1"
"14.3261541354152","51","19862","87","1"
"14.3265982915137","51","19861","88","1"
"14.3800357479","51","19860","89","1"
"14.3816718604635","51","19859","90","1"
"14.3957800413725","51","19858","91","1"
"14.4074875072485","51","19857","92","1"
"14.4242135856373","51","19856","93","1"
"14.4486523374007","52","19856","92","1"
"14.5126984643023","52","19855","93","1"
"14.5335955939343","52","19854","94","1"
"14.5998084287372","52","19853","95","1"
"14.6060578411985","53","19853","94","1"
"14.6503059523369","53","19852","95","1"
"14.6627164879204","53","19851","96","1"
"14.6955541216151","53","19850","97","1"
"14.6955667996544","53","19849","98","1"
"14.7730237372164","53","19848","99","1"
"14.7798429180318","53","19847","100","1"
"14.7884465561796","53","19846","101","1"
"14.7904476985008","53","19845","102","1"
"14.8150477249598","53","19844","103","1"
"14.8272534771265","53","19843","104","1"
"14.8283136802916","53","19842","105","1"
"14.8700086437404","53","19841","106","1"
"14.879269733553","54","19841","105","1"
"14.893943122015","54","19840","106","1"
"14.902848647196","54","19839","107","1"
"14.907060331514","54","19838","108","1"
"14.9097250340444","54","19837","109","1"
"14.9371304772386","54","19836","110","1"
"14.9548399895447","54","19835","111","1"
"14.9599216650878","55","19835","110","1"
"14.9802498451797","55","19834","111","1"
"14.9828764521148","55","19833","112","1"
"14.9925059611623","55","19832","113","1"
"15.0037015569691","55","19831","114","1"
"15.0285724515138","56","19831","113","1"
"15.0337863157916","56","19830","114","1"
"15.056017675867","56","19829","115","1"
"15.0820375888088","56","19828","116","1"
"15.085718022767","57","19828","115","1"
"15.0989946636503","57","19827","116","1"
"15.1265087816207","57","19826","117","1"
"15.1297510080621","57","19825","118","1"
"15.1320189157438","57","19824","119","1"
"15.1658119543787","57","19823","120","1"
"15.1778955690708","57","19822","121","1"
"15.1903751954962","57","19822","121","2"
"15.1922309453074","57","19821","122","2"
"15.2331968023825","58","19821","121","2"
"15.2444273310905","58","19820","122","2"
"15.2642014932887","58","19819","123","2"
"15.2709047842275","58","19818","124","2"
"15.2985826065107","59","19818","123","2"
"15.3033203208646","60","19818","122","2"
"15.3142973714396","60","19817","123","2"
"15.3408677309242","60","19816","124","2"
"15.3572599289543","60","19815","125","2"
"15.3659720608405","60","19814","126","2"
"15.3903872268555","60","19813","127","2"
"15.4051407918582","60","19812","128","2"
"15.4083986091945","60","19811","129","2"
"15.4219003236536","60","19810","130","2"
"15.4896767096945","60","19809","131","2"
"15.496838611585","60","19808","132","2"
"15.5064165123831","60","19807","133","2"
"15.5080036467009","60","19806","134","2"
"15.5369682228195","61","19806","133","2"
"15.5437260339099","61","19805","134","2"
"15.5589385300835","61","19804","135","2"
"15.5666632506257","61","19803","136","2"
"15.5682668892756","61","19802","137","2"
"15.6153241823905","61","19801","138","2"
"15.6182284405701","61","19800","139","2"
"15.6314078342081","61","19799","140","2"
"15.6453289932532","61","19798","141","2"
"15.6760039593238","61","19797","142","2"
"15.6859846657573","61","19796","143","2"
"15.6864165437769","61","19795","144","2"
"15.690037659628","62","19795","143","2"
"15.6917481397597","62","19794","144","2"
"15.7180213263737","62","19793","145","2"
"15.7254838110533","62","19792","146","2"
"15.7387571221234","62","19791","147","2"
"15.7673890975737","62","19790","148","2"
"15.7872576755051","62","19789","149","2"
"15.7923709171755","62","19788","150","2"
"15.7961843117847","62","19787","151","2"
"15.8221387922844","62","19786","152","2"
"15.8325396909189","62","19785","153","2"
"15.8333784623903","62","19784","154","2"
"15.8353818528069","62","19783","155","2"
"15.8596211414855","63","19783","154","2"
"15.8785070956681","63","19782","155","2"
"15.8797043321646","64","19782","154","2"
"15.8813725844716","65","19782","153","2"
"15.8823797466369","65","19781","154","2"
"15.885556431262","66","19781","153","2"
"15.8971273139859","66","19780","154","2"
"15.9045930329209","67","19780","153","2"
"15.9138133499264","67","19779","154","2"
"15.9338128379026","67","19778","155","2"
"15.9473662781556","68","19778","154","2"
"15.9698854667786","68","19777","155","2"
"15.9762831787367","68","19776","156","2"
"15.9890177463106","68","19775","157","2"
"15.9935774622806","68","19774","158","2"
"16.0046465657142","69","19774","157","2"
"16.0047512690158","69","19773","158","2"
"16.00478834018","70","19773","157","2"
"16.01007430754","71","19773","156","2"
"16.0168878399456","71","19772","157","2"
"16.0327470842434","71","19771","158","2"
"16.0335650046801","71","19770","159","2"
"16.0502631670975","71","19769","160","2"
"16.0557052772949","72","19769","159","2"
"16.0619989608593","73","19769","158","2"
"16.0775061703538","73","19768","159","2"
"16.10698348265","74","19768","158","2"
"16.1079950770822","75","19768","157","2"
"16.1213271393819","75","19767","158","2"
"16.1251760361105","75","19766","159","2"
"16.1293405248984","75","19765","160","2"
"16.1474244476518","76","19765","159","2"
"16.1614576818436","77","19765","158","2"
"16.1780674684345","77","19764","159","2"
"16.1866345420982","77","19763","160","2"
"16.1874447991002","77","19762","161","2"
"16.1923497458281","78","19762","160","2"
"16.1948560721923","78","19761","161","2"
"16.2090453118932","78","19760","162","2"
"16.2244008041519","79","19760","161","2"
"16.2263253641991","80","19760","160","2"
"16.2402890033469","80","19759","161","2"
"16.2464500265549","80","19758","162","2"
"16.2500231011548","80","19757","163","2"
"16.2506870767901","80","19756","164","2"
"16.2764564078815","80","19755","165","2"
"16.2794651086716","80","19754","166","2"
"16.2989458940512","81","19754","165","2"
"16.2991727701249","81","19753","166","2"
"16.3009748267401","81","19752","167","2"
"16.3060727581051","81","19751","168","2"
"16.3332307899298","82","19751","167","2"
"16.3352654702315","82","19750","168","2"
"16.367862698746","82","19749","169","2"
"16.3787568333211","82","19748","170","2"
"16.3809211272891","82","19747","171","2"
"16.3869975387785","83","19747","170","2"
"16.4032349604032","83","19746","171","2"
"16.4250728413573","84","19746","170","2"
"16.4346884224975","84","19745","171","2"
"16.4510179879839","84","19744","172","2"
"16.4594135934253","85","19744","171","2"
"16.4634281349157","85","19743","172","2"
"16.4787244341948","85","19742","173","2"
"16.4918175344868","86","19742","172","2"
"16.5013473193006","86","19741","173","2"
"16.5238222046346","86","19740","174","2"
"16.535591799471","86","19739","175","2"
"16.5485486044254","86","19738","176","2"
"16.5650762334808","86","19737","177","2"
"16.57387273863","87","19737","176","2"
"16.5817831139275","87","19736","177","2"
"16.5846867866265","87","19735","178","2"
"16.5992950579696","87","19734","179","2"
"16.6001999231702","87","19733","180","2"
"16.6023282854417","88","19733","179","2"
"16.6210281125923","88","19732","180","2"
"16.6501624335125","88","19731","181","2"
"16.6618195490305","88","19730","182","2"
"16.6748864457952","88","19729","183","2"
"16.6903394819717","88","19728","184","2"
"16.6923938524908","88","19727","185","2"
"16.6958430736632","88","19727","185","3"
