gamma,psi_distribs_0,psi_changetime_0,psi_distribs_1,phi_distribs_0,phi_changetime_0,phi_distribs_1,initialBeta,betaJitter,
0.14243241843917837,2.393028065822655E-4,35.0,0.002486490037665406,0.005,35.0,0.05,0.7680918097100223,0.06185518464220441,
0.12184863732886698,2.5749276786435555E-4,35.0,0.002247875491338917,0.005,35.0,0.05,0.7899032154414345,0.06596302908954185,
0.1334874761658276,3.594300770347186E-4,35.0,0.003194688792418901,0.005,35.0,0.05,0.6359723883642938,0.04791789860022017,
0.14303551709514228,3.1473018878156096E-4,35.0,0.003621521214081494,0.005,35.0,0.05,0.5811817148653348,0.04438674805660819,
0.13496925574920068,2.6663163158477236E-4,35.0,0.0036042626434627796,0.005,35.0,0.05,0.52875287542861,0.051149677133764,
0.13496925574920068,2.6663163158477236E-4,35.0,0.0036042626434627796,0.005,35.0,0.05,0.52875287542861,0.051149677133764,
0.13721297766679885,3.2204546130825833E-4,35.0,0.0028628331362253543,0.005,35.0,0.05,0.6357046078814346,0.0476868356741653,
0.14112928728043223,3.622328726666183E-4,35.0,0.0030332911007074233,0.005,35.0,0.05,0.6574212889817895,0.04278994459170617,
0.1187899931500202,2.871070940013563E-4,35.0,0.0031961478457966687,0.005,35.0,0.05,0.5006112454495575,0.040231335992264625,
0.1187899931500202,2.871070940013563E-4,35.0,0.0031961478457966687,0.005,35.0,0.05,0.5006112454495575,0.040231335992264625,
0.12036325794433068,2.988595405303079E-4,35.0,0.0037454295611453236,0.005,35.0,0.05,0.37683835924999276,0.03478266438590374,
0.14777445590628982,2.594532847407352E-4,35.0,0.003656164811666408,0.005,35.0,0.05,0.31579224447469695,0.030288364066503985,
0.14916434931887076,2.84249775015107E-4,35.0,0.0033991030884569576,0.005,35.0,0.05,0.23501796191052757,0.02973482364325349,
0.14916434931887076,2.84249775015107E-4,35.0,0.0033991030884569576,0.005,35.0,0.05,0.23501796191052757,0.02973482364325349,
0.14916434931887076,2.84249775015107E-4,35.0,0.0033991030884569576,0.005,35.0,0.05,0.23501796191052757,0.02973482364325349,
0.14831618405882374,3.2283892462241427E-4,35.0,0.0032944344483837773,0.005,35.0,0.05,0.23748774690935437,0.027822304085276334,
0.16221512051045184,2.9771150053796056E-4,35.0,0.0028424611219818848,0.005,35.0,0.05,0.25192719699617033,0.02481474303277686,
0.16221512051045184,2.9771150053796056E-4,35.0,0.0028424611219818848,0.005,35.0,0.05,0.25192719699617033,0.02481474303277686,
0.16221512051045184,2.9771150053796056E-4,35.0,0.0028424611219818848,0.005,35.0,0.05,0.25192719699617033,0.02481474303277686,
0.16221512051045184,2.9771150053796056E-4,35.0,0.0028424611219818848,0.005,35.0,0.05,0.25192719699617033,0.02481474303277686,
0.16221512051045184,2.9771150053796056E-4,35.0,0.0028424611219818848,0.005,35.0,0.05,0.25192719699617033,0.02481474303277686,
0.1558420311437865,2.762349171336328E-4,35.0,0.003127232220127543,0.005,35.0,0.05,0.302182844056641,0.027686217659342083,
0.16646637336785952,2.494063735063049E-4,35.0,0.0030980751487857147,0.005,35.0,0.05,0.29811627598911455,0.03287442638805363,
0.16679384693274604,2.318972572064656E-4,35.0,0.002421773980896067,0.005,35.0,0.05,0.3161568093276047,0.04036233728663978,
0.16408509972171262,2.5991891768815283E-4,35.0,0.002535704886139993,0.005,35.0,0.05,0.36296161707238467,0.04064234934464787,
0.18452692299763274,2.429061805156182E-4,35.0,0.003000130265449193,0.005,35.0,0.05,0.41472171689205123,0.0516740729290042,
0.1564874302269953,2.3931825273462495E-4,35.0,0.002580259618826409,0.005,35.0,0.05,0.47970715625925,0.04830986663683729,
0.19147548189113997,2.3583908396938478E-4,35.0,0.002669718455487712,0.005,35.0,0.05,0.6820044187706481,0.04328345500081567,
0.16928245083901228,2.98250580136821E-4,35.0,0.002595584232334151,0.005,35.0,0.05,0.6278089414713988,0.046583227477039954,
0.16928245083901228,2.98250580136821E-4,35.0,0.002595584232334151,0.005,35.0,0.05,0.6278089414713988,0.046583227477039954,
0.16442561246003387,2.600103696988938E-4,35.0,0.0027346254425112686,0.005,35.0,0.05,0.6802173621431586,0.046120177996880986,
0.16271095557120524,2.4470111679217007E-4,35.0,0.0028521784482974963,0.005,35.0,0.05,0.6920231296744749,0.04748361746391197,
0.16271095557120524,2.4470111679217007E-4,35.0,0.0028521784482974963,0.005,35.0,0.05,0.6920231296744749,0.04748361746391197,
0.15399129665422426,2.2153136243969733E-4,35.0,0.0028994295942473608,0.005,35.0,0.05,0.6315403622128709,0.04481198831473981,
0.1694353068601577,2.1151128272791365E-4,35.0,0.002361042265085505,0.005,35.0,0.05,0.5613784845451552,0.039973044809098655,
0.14394871569760803,2.7122141408203834E-4,35.0,0.002199613337707911,0.005,35.0,0.05,0.6331657588944255,0.030577813493558818,
0.16588134797562742,2.667761047382136E-4,35.0,0.002749883359807091,0.005,35.0,0.05,0.4878131950354371,0.04220977145771607,
0.1658118449415351,2.850654215806278E-4,35.0,0.0025560942734612116,0.005,35.0,0.05,0.5157179785541696,0.042946676731812815,
0.18222311178854242,2.3935678421721293E-4,35.0,0.003177882064768974,0.005,35.0,0.05,0.4927039849707969,0.040939566569876885,
